Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Parameter 45	Parameter 46	Parameter 47	Parameter 48	Parameter 49	Parameter 50	Parameter 51	Parameter 52	Parameter 53	Parameter 54	Parameter 55	Parameter 56	Parameter 57	Parameter 58	Parameter 59	Parameter 60	Parameter 61	Parameter 62	Potential	Equilibruim
5.7508527487	8.2316686814	-14.7805563445	-14.1783560218	-3.53937958167	7.92048125606	7.79488268313	9.91793911409	-17.5849700236	-1.70939669797	7.4819280783	18.129958459	17.0666908618	16.7265217249	-9.2721516305	-16.9388492871	-17.8252535449	-4.28332699203	-11.798043383	2.80270425874	3.5245577017	6.30409152229	2.31246682635	12.3160606154	15.8182385238	2.55430386828	19.2969234716	1.72699332495	16.995437085	14.3483896392	15.5645441375	8.28228983533	6.5121573302	16.8849416883	6.50051279673	16.9172600997	5.77648912692	1.65331217465	5.47027481034	11.3925942673	7.87445889363	-5.31070888438	4.0639401108	-0.397231574356	2.46197291878	4.31518273337	0.710521523141	-3.67452699272	-3.117160227	-2.73605091685	4.5817334064	-2.19308096176	4.49569195254	-3.49177900846	0.20485593919	-5.84744814107	6.86501371398	-1.15044316159	-5.28564649098	1.64986087596	-2.95525046721	4.15587048288	493603.911601	False	
5.3974979019	8.44776016906	-15.4344246067	-13.9621960159	-3.68468836887	8.5210419952	7.5829653108	10.1682662525	-17.2039973394	-1.64310574361	8.5420436251	17.9800459133	17.1183898683	16.1036085414	-9.26307436834	-17.6432480111	-17.4062523634	-4.97066882059	-11.6420778115	3.00107263556	3.24240448033	6.28224448329	2.07092765659	12.5903704393	16.0804016449	2.59655567723	18.368235853	2.38825226758	17.0475065988	14.4404528601	14.8276960176	8.08164959484	6.57901293927	16.8724221946	6.92636840053	16.468126917	5.11081426374	1.26925909669	5.53130948892	11.7470847364	7.90410379732	-5.34024023101	3.89965857119	-1.01434976804	3.36198775009	4.47576926808	0.816548656038	-3.85589295847	-2.57212552101	-3.40448393385	4.67228806318	-2.80989228001	4.04636254506	-3.52779617782	1.06142183044	-5.35820472707	6.91915056896	-1.6847030195	-5.3117276266	1.75006093966	-2.67103118766	4.13641233538	362741.859673	False	
5.3974979019	8.44776016906	-15.4344246067	-13.9621960159	-3.68468836887	8.5210419952	7.5829653108	10.1682662525	-17.2039973394	-1.64310574361	8.5420436251	17.9800459133	17.1183898683	16.1036085414	-9.26307436834	-17.6432480111	-17.4062523634	-4.97066882059	-11.6420778115	3.00107263556	3.24240448033	6.28224448329	2.07092765659	12.5903704393	16.0804016449	2.59655567723	18.368235853	2.38825226758	17.0475065988	14.4404528601	14.8276960176	8.08164959484	6.57901293927	16.8724221946	6.92636840053	16.468126917	5.11081426374	1.26925909669	5.53130948892	11.7470847364	7.90410379732	-5.34024023101	3.89965857119	-1.01434976804	3.36198775009	4.47576926808	0.816548656038	-3.85589295847	-2.57212552101	-3.40448393385	4.67228806318	-2.80989228001	4.04636254506	-3.52779617782	1.06142183044	-5.35820472707	6.91915056896	-1.6847030195	-5.3117276266	1.75006093966	-2.67103118766	4.13641233538	362741.859673	False	
5.3974979019	8.44776016906	-15.4344246067	-13.9621960159	-3.68468836887	8.5210419952	7.5829653108	10.1682662525	-17.2039973394	-1.64310574361	8.5420436251	17.9800459133	17.1183898683	16.1036085414	-9.26307436834	-17.6432480111	-17.4062523634	-4.97066882059	-11.6420778115	3.00107263556	3.24240448033	6.28224448329	2.07092765659	12.5903704393	16.0804016449	2.59655567723	18.368235853	2.38825226758	17.0475065988	14.4404528601	14.8276960176	8.08164959484	6.57901293927	16.8724221946	6.92636840053	16.468126917	5.11081426374	1.26925909669	5.53130948892	11.7470847364	7.90410379732	-5.34024023101	3.89965857119	-1.01434976804	3.36198775009	4.47576926808	0.816548656038	-3.85589295847	-2.57212552101	-3.40448393385	4.67228806318	-2.80989228001	4.04636254506	-3.52779617782	1.06142183044	-5.35820472707	6.91915056896	-1.6847030195	-5.3117276266	1.75006093966	-2.67103118766	4.13641233538	362741.859673	False	
5.3974979019	8.44776016906	-15.4344246067	-13.9621960159	-3.68468836887	8.5210419952	7.5829653108	10.1682662525	-17.2039973394	-1.64310574361	8.5420436251	17.9800459133	17.1183898683	16.1036085414	-9.26307436834	-17.6432480111	-17.4062523634	-4.97066882059	-11.6420778115	3.00107263556	3.24240448033	6.28224448329	2.07092765659	12.5903704393	16.0804016449	2.59655567723	18.368235853	2.38825226758	17.0475065988	14.4404528601	14.8276960176	8.08164959484	6.57901293927	16.8724221946	6.92636840053	16.468126917	5.11081426374	1.26925909669	5.53130948892	11.7470847364	7.90410379732	-5.34024023101	3.89965857119	-1.01434976804	3.36198775009	4.47576926808	0.816548656038	-3.85589295847	-2.57212552101	-3.40448393385	4.67228806318	-2.80989228001	4.04636254506	-3.52779617782	1.06142183044	-5.35820472707	6.91915056896	-1.6847030195	-5.3117276266	1.75006093966	-2.67103118766	4.13641233538	362741.859673	False	
4.72928985333	8.30286413726	-15.3966248702	-14.0113203832	-4.14527293694	8.52456361977	7.35192110371	10.1781649069	-17.2979663988	-1.53456615167	8.47645128665	18.1691297286	17.6525390255	16.8428322599	-8.61931334036	-18.2629047947	-18.2488341563	-4.79481845878	-11.6905082693	2.87501728261	3.8114981597	6.32236763079	2.02948554257	11.9773330421	15.8222631186	2.75310977408	19.5708262765	2.19258720391	16.5024557321	14.2409525923	13.6628353622	8.88979032188	6.81389049392	16.5973530402	6.63330822358	17.2188031207	4.85354725233	0.136496985626	5.99019839676	12.609426494	8.45233170983	-5.53236936482	3.94926555883	-2.0103868319	3.55887686764	4.21124410187	0.672619647194	-4.24476298203	-2.12336427685	-3.38114740093	4.40778394199	-2.5104563172	4.3254545104	-2.88092327917	0.935408080396	-4.0482432075	6.57264069297	-1.32081556769	-5.70044035038	1.99645087062	-3.18493245562	4.02045298983	468260.785842	False	
4.57927837015	9.47005545608	-15.584878595	-14.0384186872	-4.99420401459	8.91349648244	7.9468631422	10.7905682785	-18.036153291	-0.908564466896	8.69669654774	18.0831995649	18.4623596263	16.2613785252	-8.67001514913	-18.3243259302	-18.4739739643	-5.68447059793	-12.4224464249	2.5621300272	2.9777684437	6.60044412864	0.262504049638	10.661954467	15.3688333439	1.47874425075	19.3419036378	1.84538345192	17.0249671662	14.4493962188	13.8659071738	9.6083812903	7.23384589511	16.7064293938	6.56724089651	16.7371125189	5.64433509865	0.442894789344	6.72964749871	12.2906009266	9.01798225107	-4.72527001476	3.98387683135	-1.71764842652	3.35704015844	4.82462990057	0.958734487898	-4.43720715106	-1.38969827282	-3.55826203043	4.67211129396	-3.58819053545	4.03244283918	-2.52437586052	0.32465184801	-4.2058285561	6.85338591259	-2.48475346527	-5.01862942103	1.50816272521	-3.26723963972	4.37012217081	433885.648797	False	
5.02984761422	9.1022431972	-15.110940328	-13.721341007	-3.5959735727	8.54141852939	8.39247973257	10.8169951859	-18.5929121128	-0.765853465197	8.09767875656	18.0444836196	18.8829304469	15.5677586888	-9.45162215297	-19.0366043516	-18.6683715629	-6.25316685916	-12.4139495544	3.23124675082	2.45582322913	6.17948461524	0.464560534695	10.5189051016	15.7466430619	1.60335262521	19.502950553	1.85258374174	17.0875985491	14.7614649449	13.628436151	10.4437591394	7.5287597439	16.4451609014	7.43685977308	16.7113351685	6.29239070592	1.18488482827	6.2577606338	12.1138130515	9.94657249562	-5.29152032165	4.0762928031	-1.14123206673	4.19050580586	4.46655608605	0.480212342806	-4.327816448	-1.02187036248	-4.20610282949	4.81606868386	-5.03885779976	4.7145532724	-2.38701530097	-0.140419174723	-3.9613820096	6.5339434024	-2.26398269273	-4.80993908355	1.02354003085	-2.75772077872	3.26413187632	433891.048768	False	
5.00076707456	9.54241584499	-14.9214904966	-13.534602956	-3.99870479678	7.97301464515	7.97300580913	10.8985286704	-18.7093567554	-0.0773083909184	7.79655745122	18.1439931027	18.5525380812	15.9530479444	-9.61816602823	-18.8007390675	-18.700840897	-6.30214822653	-11.9936694097	3.7689149672	2.91712892883	6.36906184449	0.740273868987	10.5189390541	16.1017731521	1.99568325945	19.7329254168	1.78609387494	16.9342500013	14.7608145008	13.6205524497	10.1781387033	7.33264871608	16.4189936652	7.55464725045	16.2423201649	6.43349936631	0.543396300527	6.66184770689	12.0034760397	9.81496949846	-5.09309818442	4.0884605789	-0.9701320112	3.88746541921	4.36775164258	0.72867248504	-4.3862220074	-1.35314301391	-4.1255680012	4.90142335161	-4.96429680282	5.00646937525	-2.05687053011	0.0552471087818	-3.73747077317	6.71089962559	-2.36163606165	-4.57508543351	0.965672658451	-3.36273015019	3.51711063698	344069.217164	False	
5.17575159352	9.91955462607	-15.3224193692	-13.7385603285	-3.66171160283	7.26642424155	7.90057763578	10.5368748557	-18.7050967143	0.23856431356	7.27841842189	18.2003920809	18.4610362565	15.6448337502	-9.33330813274	-18.7480553756	-17.8861151264	-6.13601886635	-12.2537394575	3.29393485987	2.97638022624	6.60497487514	0.521577938757	10.7408735004	15.5707642408	2.7773973558	19.6617024382	2.17971134765	17.0545642225	14.4050331095	13.1557775292	10.8782241152	7.58212270102	16.2038640641	7.72295922559	16.8750820438	6.63727282702	0.676093706061	6.27955070798	12.5019730517	9.38683432035	-5.71865558292	4.11758121153	-1.4137113146	4.40295808774	5.16195736328	1.55090839066	-3.67054851634	-1.1905325679	-4.25922910705	4.74246264796	-4.34661759135	5.12010174248	-2.41468116894	0.273001775347	-3.82169566644	6.89105609122	-2.84349424099	-4.14133358708	0.329070723662	-3.33479473138	3.58761985753	496681.377696	False	
