Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Parameter 44	Potential	Temperature	Equilibruim
2.29054639042	-2.79169323725	1.82020678497	-2.97779148431	3.81120826049	-4.29600021572	1.13979034103	2.48593103349	3.21497433081	-3.77516553721	-4.28682047846	-1.76227901979	2.03783111168	4.40308212987	-1.7423179751	-5.83177628918	-1.83875930108	2.04259561316	2.96083253174	2.18790922883	-5.26290860775	3.96136012378	8.88434072381	9.48019013637	3.21321691709	0.430936963814	2.47536712132	7.30740867845	1.23098687879	1.59827169066	1.21778757791	5.92394403093	9.01764071132	0.664464354023	0.0574638366141	5.44365076377	2.78931700533	9.12062891677	8.94556927402	2.73158804221	8.32236948722	0.231880405249	4.90810142222	4.7903868308	37749.8802516	72900.0	True	
1.48176941037	-1.57329637513	0.237244903168	-4.51696770695	3.37026931049	-5.63903071795	2.03467006778	2.3777729697	2.78448730782	-3.79248118289	-5.50662236109	-1.87491252768	2.5864478379	4.90114347645	-2.33501839908	-3.96394080764	-1.18940956744	2.43035101223	3.22367133975	2.42403728987	-6.88424848519	2.51787573883	9.47950157444	8.65097698719	5.86021769115	1.76916636822	1.23148919551	5.38053972756	0.887314370501	0.640001199035	1.76404523241	5.17450866446	9.52281967016	0.866458913281	0.896208032272	5.28575316216	1.89786207262	8.77761659221	9.22324879362	2.1966287048	8.19799642227	1.22407513491	4.98796765808	4.55793192505	63076.1793844	65610.0	True	
3.47863757423	0.106270211089	0.215747066405	-6.3159724254	3.36752255362	-5.75890963651	2.38236657584	2.77647568391	1.84499003221	-0.548445777772	-6.235533152	-2.01569898398	2.32782424215	5.60954663438	-2.57668294151	-4.14939401632	-2.01516452604	3.29280432924	3.07483445858	4.24773514591	-6.6908924966	1.17982558978	7.50153428314	8.83784895229	4.04812304651	3.29625571649	0.99843949411	6.53862093508	3.27741425479	0.665426393271	2.64515848296	3.92051946049	8.8009096073	1.11942689243	2.09954026288	3.10244838237	1.49603868893	7.99451770749	8.14431805819	4.08172294641	7.88295675448	1.04069636907	4.67155539995	3.84507029825	58221.225358	59049.0	True	
3.88945782821	0.159755180242	0.171519004302	-5.58858244146	1.81878899483	-4.9895949498	-1.30001920938	4.07162511527	2.65163464467	-0.0879854911885	-6.00223856889	-1.9250752051	2.80485790543	4.83045456269	-1.06046904203	-2.81807647053	-4.21430340535	4.08592484522	4.1266515633	5.19775650185	-7.35714519769	1.18979510131	7.51679270508	7.40870841387	2.44086171691	3.24751395917	0.950287409711	9.29007195923	2.83773695661	2.75443697538	2.83957075977	4.69350565898	7.97113855887	3.40056735504	2.04454535802	2.8735649345	0.68040319594	7.20283107912	6.51738531168	4.43948943014	8.24790953038	3.34062393552	3.93382524379	4.42956169237	233205.900301	53144.1	False	
2.99318325783	0.223841149023	0.364739004812	-5.39192728979	2.93132300596	-4.02830992981	-1.62117753683	2.85108539806	2.9579625863	-1.67561751188	-6.57640047022	-1.13431219341	1.66126476481	4.8062075705	-2.57058217655	-1.9810599612	-2.09454123127	4.64110629842	4.27166922444	4.90427828543	-6.29866761116	1.392075866	5.24238424027	7.70342575546	4.96756709914	3.71994735337	0.736823133597	8.511349679	2.47152338524	2.38531310434	1.03660300262	5.76074565323	9.27426022485	4.37165255337	2.72076421704	3.9192079242	0.714890894985	4.28656432491	8.13427979422	2.83634977374	8.61159852312	2.70065495582	5.2080653639	5.91256913631	35649.5048955	53144.1	True	
2.90121935995	0.538460515762	-1.96151064751	-5.05945925128	1.19243296217	-4.6575579511	-0.050228262091	2.59920255756	5.28743142163	-0.560087924208	-5.464022434	-0.835476186732	1.42791383404	4.28887946341	-4.0038882075	-2.73069949007	-2.23041846355	4.16741096433	2.5654665145	5.22012332078	-5.09423264057	2.94387755822	4.63560367524	7.76501037804	6.45405475827	5.44570800875	1.43222148037	7.68253136457	3.89323786888	3.03145224306	1.63741792366	4.87419223698	8.06953243996	5.68034439553	4.76893856128	5.07893062508	0.73105438803	3.22756782835	8.80333216627	3.16569453717	7.91978051396	4.52389969185	4.35258074444	4.4959683863	138250.159236	47829.69	False	
2.59871780573	-0.39976593486	-2.9993507568	-4.93104529597	1.8877367971	-2.50203383524	0.160566845782	2.2542954435	5.38149925618	-0.342268627449	-6.82487432795	-3.16131054575	2.9236668661	3.82689800403	-4.45677112286	-0.965434664821	-0.838770877281	5.20466919665	1.6208949986	5.62298836096	-5.14555372152	4.34815979018	5.07978051611	7.15550153936	5.96612013815	6.92245327331	1.51103338673	6.66134937982	3.59478241505	2.61998515158	1.3269542431	5.27585320395	9.19022753304	5.9707174776	4.55416010494	6.5850494987	1.53289652187	2.86901960309	8.90407539726	3.78273694236	6.96399861437	5.09249677609	4.5770494167	3.81666308598	51458.3430271	47829.69	True	
4.76649834669	-1.28279367594	-3.53268162402	-4.14691232396	1.60455096775	-0.80313529282	-0.632307859047	1.78207812208	6.24305343151	-0.652233408269	-9.07734085747	-5.07799086276	3.72461061272	3.24032613181	-3.37896968195	1.42166949771	0.153569949762	5.96092581827	0.762083098284	6.34180201068	-3.10267878656	5.28989399018	5.89075160352	7.04486995741	4.47831147071	5.9742753431	2.69596654732	5.18391984376	3.74533582881	1.29736635479	0.892022253771	6.2303718314	9.41252271012	6.93047201481	6.5250508371	7.66714017437	0.225986260096	1.14757809791	9.21850433198	2.33098774289	5.12751166045	3.535476273	5.9667304305	3.41342664301	59007.2059181	43046.721	False	
4.82220966841	-1.44957997137	-2.83623594062	-4.39387563402	0.74102985724	-0.109274826883	-0.209258031699	2.59775233448	7.86719589564	-1.78523213151	-9.69025522929	-3.63718850931	3.90618526812	4.43152808573	-2.26534232709	2.41704617	-0.0942846403099	5.38956644855	0.794927954768	5.68036549995	-4.0552244424	4.09945875539	5.78635560396	7.65464553158	5.37824359638	7.52260144185	3.74558420928	5.53229793914	3.10401460005	0.217182295651	0.105585014841	7.03894272306	9.66206308475	6.30486233781	6.57825795214	7.76331554223	0.303850284653	1.55414200162	9.38482017453	1.65077951455	5.65845403591	3.0527045508	5.8355070475	4.45195885488	43920.5554822	43046.721	True	
4.87989201759	-1.8582636428	-4.70163967059	-4.71085882872	1.67938023321	-0.457489477779	1.66234858778	1.84196687017	7.84851832919	-2.45084353726	-9.27280865762	-3.50843089455	3.67230604089	3.64092148693	-2.23304245598	1.93701168153	0.432984058349	4.65294718175	1.51330858454	5.40544926632	-3.3057757615	5.3144534286	6.09414439412	8.28281440881	4.70298718031	9.08634015251	2.51800415749	6.06166988098	2.92532097975	0.120336954096	1.33864602024	7.37824952282	9.76923125829	5.11441065719	6.13755597743	6.89476893301	0.807212840643	0.886024977343	9.41157585192	2.00544320184	5.62879184942	2.51324639531	5.63577268637	5.38793311151	47734.4035047	38742.0489	False	
