Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Potential	Equilibruim
9.99657962104	-7.70902847229	7.95605565022	-5.4556129864	-6.42246363113	-2.14275542841	-6.32345153335	-5.943714412	-3.6344316057	2.50624350689	-8.07196732414	-1.74216890027	-9.28338774125	0.452677882806	9.23828584148	9.79327008664	-6.17042431497	-2.74045199932	-3.39624004056	2.47000868806	4.23994355932	9.26399993065	8.53278953175	0.462084740315	8.7888616507	9.05260091737	1.60260372237	9.49415538664	3.46921458841	4.7993357156	9.05124829188	0.572485738173	1.61831768172	3.90271570459	5.93321186905	38583736.2781	False	
9.67759709339	-8.00786094944	7.6616169166	-5.33189135174	-6.68587825101	-2.00328245972	-5.9073686634	-5.42529781888	-3.3659749496	2.49773222152	-7.80005634416	-1.82488081269	-9.56796382644	0.290912921119	9.51837625663	9.59812183529	-6.16622326487	-2.9125293896	-2.9689999186	2.00280905984	4.31045739237	9.03589050247	7.96798818915	1.04193573276	8.58890211856	8.87208515073	2.01818467114	9.22275010926	3.86787369484	4.85907036006	9.29146734808	0.101879715505	1.79590345679	3.82564954053	5.82004582696	38464331.5837	False	
9.28286154164	-7.6041231721	7.76747238937	-5.26886780441	-7.3566934358	-1.74828020289	-6.17730745335	-5.21729986361	-3.02739697763	2.78387391496	-8.36703429846	-1.73966019149	-9.3018881785	0.373135461744	9.58356960057	9.81457787796	-5.87196736169	-3.25266709353	-3.33012934655	2.15983508119	4.84616606282	9.16633620095	8.00090694573	0.790692122151	8.42027871127	8.65435752468	1.99709711294	9.05088751401	3.6593650281	4.5251220293	9.77752092569	0.105850126554	2.02957907189	3.84765381538	5.76742815415	38786998.4044	False	
9.07776916357	-7.98057478421	7.74960912108	-5.62955733478	-7.11196463337	-1.57321980785	-6.77271645918	-5.63529922782	-3.02241648339	2.68721824964	-8.82142492442	-1.82215300544	-8.52844387439	0.764022574399	9.23966600882	9.22280731221	-5.37856066723	-3.95664651833	-3.11696545286	2.3011280612	4.91915930688	9.67617619859	7.81092161116	0.745451810879	8.15003468788	8.66450963578	2.48186207849	9.3876944438	4.29883196504	4.62494257246	9.9240241504	0.254295689293	2.36972318392	3.85579699825	5.92216578615	38369545.0097	False	
9.53437211091	-8.36466409063	7.02979104118	-5.87434903816	-7.11905068201	-1.2145780369	-7.10331505644	-5.26597279965	-3.02388195718	2.58503875278	-9.11519718393	-1.44889582046	-9.26589613263	0.376282699024	9.50973777492	9.35588950796	-5.51528505496	-3.97439822988	-3.2554094849	2.35550610538	5.4218812423	9.6739637668	7.79348651544	0.0819936670002	8.99152049537	8.07746812221	2.57444907879	9.3108075397	3.91528957406	4.86181647167	9.25793311339	0.120556430726	2.86437865542	3.86209597091	5.8999112558	39922710.4823	False	
9.8994288967	-7.95961591473	6.86429119785	-5.55402626046	-7.21642206922	-1.71821345138	-6.73106188284	-4.6194260558	-3.0946002702	2.53755939691	-8.98210826601	-1.74955250189	-9.25128942059	-0.235201405088	9.14385825449	9.33592020897	-5.98396217378	-4.4556514998	-3.44005731216	1.83320057998	6.00048795894	9.09629816425	7.44101260168	0.01433812585	8.71241521228	7.65462428506	2.38269192308	9.04139761752	3.4115966297	5.10560114738	9.008610461	0.0960743126002	2.93123954704	3.82967088973	5.5409837793	38081137.7209	False	
9.63705830629	-8.36348024494	6.90498476468	-5.46480852938	-7.24686862219	-1.96886497857	-6.6629594902	-4.88146060168	-3.12394963611	2.22875983552	-8.7629693142	-1.74816205529	-9.49170930441	-0.637555106316	9.23262845881	9.11868591534	-6.02167707906	-4.10568217542	-3.8387779098	2.28620167014	6.26705084406	9.31810275382	7.70392951586	0.264379816717	8.89564335281	8.16920297402	2.16245500903	9.03569156806	3.3302301473	4.84575469094	9.28225638557	0.391323169786	2.86043615367	3.7674261458	5.38905061471	38302111.1423	False	
9.93115626766	-8.16282711093	6.59590329327	-5.04797493805	-6.92722149226	-1.9561570638	-6.74331312062	-5.25051471398	-2.90974541696	2.05201910739	-8.4794312191	-1.98000582151	-9.35037405408	-0.463275690169	9.14097441401	9.34175324081	-6.04280327998	-4.41823078172	-3.86723831178	1.99201197005	6.32100874516	9.4485517982	7.24124731013	0.221213362473	8.69058709169	7.75348661085	2.17403712439	8.9853944159	3.42609854524	4.71609598981	9.60277103038	0.497200074039	2.94900972928	3.82383334878	5.29186844219	37534864.0343	False	
9.82090026604	-8.30944398072	6.20795591523	-4.76465714739	-6.54683215825	-2.01102396019	-6.52437784809	-5.32432859022	-2.7868853674	1.95750196464	-8.69596223879	-1.90037978641	-9.51280058091	-0.34130831904	8.95997911264	9.41404981172	-6.08094426228	-4.07232158844	-3.7810642576	2.04808149263	6.35590134961	9.47090913901	7.14803398112	0.058855536434	8.62592218445	7.78146676485	1.90572916088	8.73278876963	3.55354515343	4.646404705	9.24203111927	0.573797886176	2.93525038774	3.97577059916	5.50436222306	38671052.9874	False	
9.77887985364	-8.07531718564	6.12866716929	-4.72129725874	-6.41821536716	-2.04275758835	-6.3712186631	-5.43219022759	-2.75657649591	2.17407347203	-8.50133884683	-2.02509532137	-9.7377770714	-0.724037683299	9.07273892394	9.35286725187	-6.16915583454	-3.88978814389	-3.50811089019	1.89106798117	6.34588399478	9.5708149066	7.18694747518	0.029730722264	8.48958490538	7.77994641709	1.6385121102	8.37935850387	3.99710685605	4.79016824322	9.15422194723	0.52896236586	2.77888730448	3.8617443968	5.46790240612	38464526.372	False	
9.72628989241	-8.09993399983	6.20230567971	-4.76273715645	-6.52330624669	-1.97971066805	-6.05783992546	-5.46888412885	-2.91926985792	2.38639541612	-8.29580878138	-1.99799431524	-9.68624056312	-0.830630598224	9.2686671214	9.23779843639	-6.36769410482	-4.06257397189	-3.54232279697	1.83644189859	6.16305469536	9.28767050835	7.39545547404	0.144134810663	8.30445279264	7.88099765905	1.54088669736	8.6071062748	3.99360636039	4.57693468565	9.07677342342	0.618111634341	3.13357831272	3.88636614913	5.56097420535	36999935.128	False	
9.66768994288	-8.16862514118	6.02346800117	-4.8576751417	-6.98071803692	-1.79381603568	-5.69662722951	-5.50453361584	-2.83697153879	2.35264639956	-8.40152772807	-1.90294504418	-9.52871809553	-0.951673724647	9.15673024029	9.17826132253	-6.36791822979	-4.30224424257	-3.49879241612	1.81722223377	6.05124110981	8.91447592275	7.47585376151	0.199524759108	7.74302028577	8.05372094005	1.87051690175	8.41853990027	3.96996998758	4.65364923171	9.16380885978	0.607645571761	2.83004282099	3.87550143437	5.6276686039	37477266.0214	False	
9.5804497601	-8.36828746144	6.02102851467	-4.89227553068	-7.21927864074	-1.84108564216	-5.85003051639	-5.53282732991	-3.03308444833	2.41566921745	-8.65131514899	-1.72678524818	-9.6021191802	-0.868264371795	9.00038867291	9.2621870309	-6.41306443987	-4.368379859	-3.66784617696	1.6781065956	6.0707619781	9.08632034117	7.32500054594	0.589967681552	7.82309361464	7.9697947135	1.84150304091	8.32206456216	4.05432970896	4.67161296925	9.32192072139	0.731173087824	3.10148755968	3.96807992475	5.61089919684	37730369.6446	False	
9.63498594692	-8.23228037709	5.75349510262	-4.97892350486	-7.25236722592	-1.84745210398	-5.7970346336	-5.49820649253	-3.04241449945	2.33030897929	-8.4911185901	-1.69014343959	-9.66689274298	-0.927433731241	8.97885688239	9.23701840205	-6.32984225341	-4.48840389448	-3.55985866544	1.65972760355	6.20982900518	9.03422374543	7.36875201743	0.465080198382	7.82721438145	8.03572132361	1.85621131439	8.26413513183	3.94428983476	4.73023288001	9.31399505629	0.616799349458	3.06043695457	3.96951102074	5.63581861544	37448212.699	False	
9.59145385762	-8.13731616273	5.77199471656	-5.14498115063	-7.05484523258	-1.84896375825	-5.93312989102	-5.74581086299	-3.07446559983	2.30866970137	-8.31490436046	-1.58048648397	-9.64483008808	-1.0599059154	8.99248277516	9.1577679225	-6.55684733129	-4.74767139079	-3.66896931016	1.5220999261	6.33573166581	8.99466612613	7.1301912782	0.579577837958	7.6767165017	8.04135058721	1.9953461501	8.11105083837	3.92863429934	4.71383755912	9.39258182424	0.627898496462	3.12475612116	3.84124530742	5.86710225813	37938872.0476	False	
9.59016631159	-8.16058386985	5.70172659182	-5.14851380621	-7.22169222136	-1.95838936263	-6.02924004982	-5.86202262068	-2.99197253503	2.21024418745	-8.20040919532	-1.64352619596	-9.72105233841	-1.03750223319	8.94792574876	9.3440830698	-6.46566499672	-4.94239291668	-3.75481893792	1.66634872498	6.37186575198	9.20851638775	7.0667697883	0.700382429277	7.60776645541	8.00182911776	1.99384954856	8.32634463162	3.99497839709	4.72822650581	9.39579867329	0.493558857581	2.99689907213	3.7627856092	5.85339700999	38170654.6836	False	
9.59693251391	-8.0198190324	5.57355555769	-5.24431161793	-7.03142784693	-2.00284460584	-6.07412515508	-5.58771149771	-2.99036862725	2.11383231269	-8.2623079355	-1.70411831609	-9.65208317114	-1.16969674186	9.00087884647	9.36892811982	-6.50604791635	-4.89471939978	-3.69276864083	1.67360343262	6.2350230502	9.10186965474	6.95134991164	0.692629828148	7.5535300115	8.0599144607	2.18484799323	8.19049357439	3.90900973629	4.98337019665	9.20177568185	0.514918675233	3.10175944415	3.81011487535	5.76652634981	38080338.743	False	
