Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Potential	Temperature	Equilibruim
1.30604497449	0.0645292615342	2.18064972902	4.62850325433	5.1681372421	3.43705050198	5.16453716864	4.23136607493	3.41844623446	5.30865487252	4.36051735873	4.15111292165	3.58516256529	2.63680736378	5.43868494452	2.78949137738	4.93202202403	3.94978940411	3.72255245951	5.29614007318	6.52280995879	5.98058181722	4.01608389489	1.44173049345	0.794676372017	1.66307983685	-0.721535217739	18265.2353959	12604.9881945	True	
2.23370104041	3.47081699891	0.153638186288	4.48580873437	2.76597258736	6.50302038657	5.42124944222	4.77187584214	7.09285869758	3.35417127587	7.23315736257	4.99485255536	5.95207001007	6.083402593	3.36894062425	2.71733077603	4.63432339453	3.22003302286	7.09369798365	2.73790052945	7.22102822586	4.98269607727	2.50070419449	2.44436759232	-0.924999183901	1.68606633955	-0.0105790983898	14437.7834924	11974.7387848	True	
2.48637220176	5.54244624282	9.54174825033	4.91617406404	5.27452106044	6.45418413854	6.9773534505	5.13033682437	6.31143344698	6.8021272229	5.5386811473	2.68695562778	7.03778863031	6.37734515739	3.99277689517	6.36098563516	7.1873449122	3.41618442547	6.5515808926	6.73875083921	5.38511272311	3.56207469687	5.31163083205	-2.36362604631	-0.818566112504	-0.473308678025	0.19322600888	9983.05626984	11376.0018455	True	
0.119269269151	3.15428356678	6.5416814887	3.27859675961	7.27161019282	4.26387976987	4.74929555426	6.87015528167	3.09128212445	3.02258799505	6.21434909252	5.19659722657	6.12521417517	6.35057452941	5.52762815144	3.42057506687	4.76160291154	6.39467679367	5.86434790516	7.41657155837	6.4230888131	7.31122551979	4.11261200339	-2.65067017931	-0.795292109479	-0.824382421083	1.37672161735	25662.2545374	10807.2017533	True	
2.10329267391	2.6939924224	0.462410975122	3.21264590903	5.83888787834	4.55692181792	5.70133031246	2.83213842516	6.27849375841	4.55014990013	4.82995799717	4.38004959672	3.15195504076	3.9878290493	3.67376129216	2.51884131842	5.60309364845	3.99090087459	5.6891083598	3.93696721928	6.0808472785	3.44308555221	3.37852216599	0.71730955678	0.423460997616	-0.920705776563	2.5929768058	11816.0036675	10266.8416656	True	
2.52581661886	6.57415838015	3.47928450314	2.71735247188	6.64328784245	7.21736541209	4.696771221	6.78851674578	4.24196663778	5.04294826994	2.50665458536	5.0454140418	3.0427723349	3.95075625212	6.34823842248	6.48076662242	4.536894771	6.226077274	2.51045644565	5.37416223531	3.64769714779	4.24360972032	3.09851721133	-2.75966978498	-0.91650960275	1.16930071606	0.804906931586	18272.3329951	9753.49958231	True	
1.85497444126	1.79455804319	5.31135962404	5.37846712115	3.81923089441	4.66762316182	5.77815119907	7.13868676381	5.25697025848	6.82503508823	7.14189822137	4.70810331309	2.84135112906	6.1891955963	4.7074895168	4.30183631009	4.71519873759	2.93544965812	7.26535538284	6.79999048316	4.3856354385	5.55779763452	6.07823419823	-2.3249045943	-0.735618611607	0.915607280098	0.605200523845	7303.98383426	9265.8246032	True	
2.75646147498	1.37682278838	3.71747188253	5.2696734288	6.91177595692	3.91860387705	4.75166515508	6.55003938261	5.38067018784	4.33294296084	3.38560298132	6.39878868425	3.93937731577	3.10321927887	5.56195060598	6.08801788555	4.58016119506	3.77207850359	2.81241743517	3.48528603813	4.53437076214	6.01981629523	5.02881218338	1.04873812404	-0.372745602509	-0.838291713509	2.22217627864	25665.9162912	8802.53337304	True	
1.56151855513	1.99512229458	0.409798419019	2.93834846306	6.08514730581	6.66853197027	5.95337706479	6.99970932434	6.28475738534	6.62888785095	5.28541726268	6.06864944346	5.95333908633	7.01236065417	3.2507586724	6.86538895669	6.1122411933	6.16853792439	3.38214478668	5.81057528676	5.93519269842	6.58674066755	7.20322401269	-0.475213919991	-0.125131412782	-0.437951020852	1.91687458938	13140.7536328	8362.40670438	True	
2.95708175872	6.25067947202	1.92558023067	5.18928643576	3.90563659298	2.98459765936	4.26390629525	3.02356855253	4.69772977951	4.88135591724	3.49106630058	6.81254227086	6.44049773564	3.16669425518	4.12914090003	4.46290406861	5.80035793934	3.19573704062	3.1897882103	2.84525886675	5.55233791704	7.34351128394	3.22157116356	-1.97908894469	-0.937185669192	2.43354118643	1.88553008646	8552.60056741	7944.28636916	False	
2.16732380995	2.65765899886	2.16200042941	3.53935572916	3.28072308181	5.96697039727	4.94672590223	4.31477716319	7.35980371115	7.43933976813	5.48849487869	2.63052484826	3.38638720358	3.66516852624	3.63694130638	5.70885211898	5.47176754551	6.20467178386	4.44094695185	4.10544401289	4.24003859324	2.81710085159	3.20005385895	-2.5040522157	1.07546843034	-0.633824670197	0.080970565554	11896.1454939	7944.28636916	False	
2.47481575102	3.81358821742	3.09866765145	6.7956464042	5.37366938005	5.99021134339	6.76780537554	5.81660868117	3.0307754283	2.84929703527	5.4207078145	5.72856288026	6.24328543975	7.13871596055	7.39854718901	6.5943535018	4.72669073656	6.49569169466	4.58809432047	4.79682248954	4.79984684504	6.50115105243	4.52953328759	-1.80474797627	-0.843516207742	1.07998229694	1.09755987946	15560.3061889	7944.28636916	True	
2.74197042032	1.15080240586	3.67164095436	4.37445199771	4.54698550283	2.58187583197	7.16903514481	4.20812720228	5.82658838026	2.86886218916	3.04249571034	4.32017914532	4.69552111881	3.48684928072	6.09388102041	6.73940217632	2.7408192047	6.99367926497	5.41951988081	3.73460626276	5.45026163791	5.5553452137	5.9214347183	0.538199849627	-1.04524092183	2.73067244696	0.506729178602	20496.0385776	7547.07205071	True	
0.933237558843	9.50131949267	3.25349528646	4.25154306425	5.36811313303	2.62443872852	6.17889993592	7.16828498732	6.77610745532	5.48839022877	5.05844091252	2.64798744641	6.41396902942	3.05376373547	6.4421927894	5.70895108492	3.30469752952	6.6441882084	5.49174462158	4.9520694725	3.55839308551	7.36945348044	5.4173745525	-2.5464156414	-0.799753732819	-0.116156443729	1.43416799283	14004.5272001	7169.71844817	True	
2.98733107692	5.93512093301	3.18770685955	2.62573345351	4.20611490792	6.42893621641	3.01250762262	5.97867675259	4.33590798474	3.59683256195	5.32673686607	2.73259187174	4.25766478003	6.71296072575	3.6249787147	5.2817025169	3.22988757214	3.16692378315	2.90757791795	2.93535647299	2.7977882121	4.08747073548	6.25302295048	0.396891076752	-1.11264962031	0.526382740433	0.747094432558	19724.309671	6811.23252576	True	
2.02632031766	4.3476672194	2.82892395261	5.02620985346	2.64822666139	6.87293238894	4.9141266665	4.77165485117	5.98681067415	6.69187741324	6.34215339405	3.04326122731	3.29571210932	3.86859093071	2.84798798102	7.16055133123	3.97425978117	4.41561439832	7.31446536954	3.58896540217	4.36708958439	2.93093198615	3.1562592406	-1.86659233898	-0.992139970409	1.33126487864	2.2896390049	21046.8133945	6470.67089947	False	
1.36956319495	1.24743951879	1.15080288997	6.93319467655	5.99742643441	5.14048134495	4.24250104808	6.49300241107	5.84412095068	2.72509448754	7.25774121575	3.41383871983	4.61818862002	4.70704649453	6.0132629369	6.78049751463	5.97435467977	5.85612935893	3.82800028875	6.39061734536	6.04804132484	4.9391750782	3.11965493438	-0.487248955346	-0.789685716953	1.89143681035	1.59678214361	9921.97310234	6470.67089947	True	
2.5188762651	0.385219678458	3.33725442397	2.76196029487	3.26644557037	4.0712064062	2.94565672878	5.90817490976	4.49499703329	2.64217867756	3.48384308576	5.2967831247	4.83101723041	6.52991181201	7.34234401584	5.83633499743	2.86970568714	6.43895067867	4.07729164427	4.47704011601	7.29423263146	2.63369858324	4.5759994971	-2.26616831081	-1.12686536234	1.21783415754	0.844139780708	34418.1188461	6147.1373545	True	
