Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Potential	Temperature	Equilibruim
9.17184519982	3.74198037501	-3.56129024144	3.14810053344	-5.71283003439	3.09661361229	4.30842226374	9.79533032291	-3.12607569598	0.248229023563	1.09030936197	1.76287454232	0.463290715635	7.72327162993	0.240190734549	2.1433669449	-0.426311517024	9.2420567264	-6.0719886088	9.87656653277	2.8960023928	16569.1435267	5433.92128905	True	
-0.468893936087	0.695066673128	9.46847689301	0.575850221232	1.00234122972	2.87402191805	-6.04521395392	-0.990465278386	8.06211250331	1.2646027937	-1.20957467559	-4.15133673701	2.43897870942	6.04734197156	-2.40572255022	9.07156248087	-0.788971357414	-3.15168494436	1.04045482865	1.92903233795	3.25552637373	5857.31048833	5162.2252246	True	
1.43236203879	-4.08973149952	-0.126583923121	2.93584223236	-5.83793762571	3.97280704271	4.78592777885	-3.68906749988	3.93198458299	9.45000801064	-4.4483315264	-0.401517195513	5.6800811464	3.26508037695	-4.91401478016	0.998020007223	-1.95156738715	7.3007022555	2.45585148649	1.82392872058	3.58151596618	1162.80421376	4904.11396337	True	
9.46334601803	3.09139770753	-3.34905368161	5.36930916065	6.6260844175	7.00016747467	3.0858423316	0.912797157379	-6.76598236714	5.25334269463	0.411807160305	6.59980199312	-3.03048382316	9.7510177076	-8.30575109212	8.53148463932	0.280637720313	6.17823748504	4.22515574113	5.66654465852	-0.259639741712	12646.984522	4658.9082652	True	
9.83348927833	-3.92890729653	-1.03780487637	0.478221537515	2.94950684114	5.22271552128	9.33830063819	5.38656064934	9.06803777065	9.42338758573	-8.12570474626	5.92914813662	6.20649568806	8.62972854564	2.77120562715	-0.396484768826	5.18557485485	9.79160158603	-3.39383641697	-2.74903555847	2.63971281791	6704.1881289	4425.96285194	True	
-7.98307887781	1.09201947053	9.24342251206	7.79701362913	-3.01119167595	7.40967484431	3.08021725258	9.36042254285	8.91871097286	2.01363441611	5.30666190692	-3.61252367998	1.31033651541	7.32770065802	-5.98782374852	4.91673959368	-5.14040324368	8.65649611231	5.02710157208	8.45816957985	2.89565063992	7591.97814537	4204.66470934	False	
-6.88255451282	4.66016600671	0.984482632956	0.485268491467	3.87294854799	-3.11949517798	7.70886000412	-6.05866365394	-0.922570375154	4.38218842449	6.75990436257	-3.12228691714	6.20938507238	-1.70077307013	-0.575721632994	-2.34213889268	8.41324624379	-4.11897643329	8.50287100147	4.85349062539	0.734562200531	3767.60233289	4204.66470934	True	
-4.05292788398	9.03953195224	-0.357892829727	8.19230163484	-2.91678834146	4.2340326859	-3.81574216501	0.869951457869	3.18412803887	8.37111972702	-6.7307308238	-0.596415501136	7.76721258815	3.55901491897	-2.36200726515	1.96775577692	3.44462949978	8.59482456301	-3.95823976805	6.65653922553	2.35139891677	4764.71943578	3994.43147387	True	
7.18311351861	-3.61918887792	-0.923107339778	6.71209265152	-5.64625576968	6.49449747654	-2.14076563905	-5.01251554556	8.57229584289	3.18513385386	4.03964917746	-0.839243992877	4.01489683759	7.52782748184	-1.01319803714	5.29423002738	-5.06793752313	2.84080087831	3.68648564493	9.7310023845	2.99697959468	3309.90059017	3794.70990018	True	
-5.05279416982	3.39717324476	7.28178701235	2.36412898369	4.19883989608	0.209596994724	3.594559793	8.00407498454	-3.54715901882	6.04250519709	8.71183561736	-1.81092552775	4.83564348374	0.802984042415	3.59372017603	7.04595621364	-1.3173396922	7.00512129589	-8.19150028852	3.27714524081	2.35715242357	6300.70239382	3604.97440517	False	
3.72601579854	-1.8170145105	-0.120569216763	7.88809402656	-8.12424853808	7.93746866074	-0.506355916685	1.00397356499	-1.79680808825	1.57945864093	1.28856598061	7.27253285201	6.43951189693	-0.715945622573	2.6461938864	-6.25354222856	4.03923245951	0.415314494952	9.01097487832	8.61369546602	2.19672533765	4519.39528814	3604.97440517	False	
-0.59078993122	5.32536219571	-2.70082694897	-3.72835707677	9.0905190425	1.00658866709	-3.29398652969	4.64771305883	4.76038613123	2.15276921695	0.907765116876	-0.64903922802	0.0600786961374	-2.3575100985	0.11505265059	-2.55543249701	-0.824463850734	7.42930929395	6.0255347623	4.03157876987	0.297167196537	3188.81935895	3604.97440517	True	
7.77934244121	7.67376062639	-3.11438260253	4.07713563684	4.67893194529	6.82302282036	-2.06431551327	8.46814023887	3.86765459471	2.91148336063	7.89794083208	-8.1429039117	5.71277107381	-1.91485920937	8.79111705379	-1.27453075938	4.06310663829	5.10216130589	0.773105164114	-1.44374186884	0.667623250477	6735.65512501	3424.72568491	True	
-4.53625410652	4.27390047396	-1.4182611124	-5.58349152599	5.09572409805	5.51431759113	6.25759929561	3.30841039966	1.98664490477	5.27168475602	-2.99645233248	-2.68521838042	3.82799946332	4.58256066009	5.10802669555	2.6473422783	3.29519984892	9.33343974535	1.46791912977	5.00984034861	-0.494269780519	5076.45819438	3253.48940067	True	
-1.89103726068	-5.48002231513	2.31567618528	1.24803253323	4.13118401072	6.66898139363	-4.42152961921	5.36503818088	1.35974488603	-3.14774348121	-1.56919426191	-0.00466924207001	8.52096137832	2.98525360891	8.92654628486	3.02090970227	0.273954995127	-1.60989069821	2.17192638625	-1.41226929073	2.94876608656	4325.35821293	3090.81493063	True	
3.50816788194	2.14671623572	-5.68249833542	9.42355536241	-5.67322266602	5.62372367901	5.0334599048	8.47551702356	9.90810847352	7.10886937446	-7.25892633708	3.29560492977	9.39710535255	9.56770451672	1.26525841348	3.44101415869	0.206103732779	8.83596536063	3.62526135501	4.33480406432	-0.0742084459739	5944.72544911	2936.2741841	True	
9.43983652105	8.44507975574	4.71872579363	-1.55641327591	0.778593464446	6.49123963014	6.22305378575	6.63709731931	1.52008256008	8.56310309358	-0.161342192575	-0.427932609369	-3.20474447876	6.79290769487	-1.56897985942	-0.0480275524484	1.26026552587	2.60313794497	-3.7306719494	5.77477059829	-0.756433454977	6539.11814025	2789.4604749	True	
-5.60835720081	8.15876595761	2.43423602198	2.77314102259	-3.18002411108	5.01917451841	0.970285391217	-5.68085669879	-1.54728634945	8.37490119169	4.42552549318	7.61965537514	-5.15186701678	-2.40781836491	3.00180647525	6.57031066521	-1.00711365612	7.71935327649	9.15590645934	4.71114899578	0.523827146194	8142.26634438	2649.98745115	True	
-5.58561672732	-1.35022218082	2.62046257236	-0.692589723736	-1.53166703886	5.39396290953	-5.39825928049	8.70847619122	4.84456487288	6.67742942394	-0.366435673366	-0.611436481826	5.8929034436	-6.03102276588	3.34244860665	-2.24478985384	3.29597877769	9.3683817779	-2.89193955776	9.18850419745	3.45149961628	1711.39542491	2517.48807859	True	
-8.0826658001	3.72585176882	6.62636345093	5.4544865103	-2.62482612244	0.774855389964	8.20826588912	-4.87936900226	5.86627511196	-2.29567557798	9.30796635037	-0.37661973427	-1.54937984131	5.52195622786	5.17571763171	6.16028329606	7.53769173306	9.67361583254	-2.78569231387	2.500691031	2.08911629816	4238.57411068	2391.61367467	False	
0.117337315261	-2.6160787421	0.893539100708	3.83494870955	4.31730457876	8.2154621775	-0.794831090341	-2.07231235626	6.46542478052	-4.6592690459	9.00428030319	-3.14245580259	-3.47028220372	9.29039335287	9.79287140123	7.47011946417	0.407694136953	-7.43748259247	8.56325358742	-2.41893891771	2.40917575828	5015.62623182	2391.61367467	True	
7.4284655454	9.22054177884	-5.67538619336	3.32849866488	0.538313778951	-1.28988180925	-0.964334081076	-2.58808521183	9.14758890332	-3.22658104754	0.993556334646	7.56969259604	-2.84813841242	-0.934984190238	-0.152050874477	-1.53216990767	9.5741810678	8.04242137193	-6.82366583032	9.17496554811	1.25213832664	2038.2478791	2272.03299093	True	
-1.86096130725	6.60262056626	3.82584443882	6.07164014533	-5.19130226289	1.31473887975	4.80697048915	-3.84946351976	8.59522461338	3.02480656226	2.68813656477	-3.34715149453	2.74616849623	7.86216789903	5.08440799362	8.03420568495	1.98229215243	5.42093401313	0.108860008948	-0.449581664284	-0.31408397876	5506.97882107	2158.43134139	True	
-7.72017675903	6.82989672149	2.68980088066	0.3638334229	1.78327644763	3.18254390003	-3.71626175115	4.47410302353	7.65949764067	-4.897287562	4.80769199349	8.52270518783	-5.30073758499	1.26639944213	0.855978075849	-2.9351069706	5.00941492386	3.60117981738	-3.40109488822	2.82171082406	1.75273202476	3669.31045328	2050.50977432	False	
9.06714479646	4.28971392484	3.36502637919	-2.72749733226	-4.26237460686	8.38265712989	-3.4118166018	6.45928468784	-0.136855241894	0.979746926498	-2.05166914411	-1.50759131506	-0.740877860751	2.45909613328	9.25486212811	0.160374041036	7.07880983888	8.68288430511	-1.75672335751	-7.68397872044	3.63446924559	4782.96498918	2050.50977432	True	
1.77562178603	-4.39998953176	3.99639427592	-5.06142196241	2.32113359101	-0.514212649926	5.66224335191	-6.37404811625	0.621508389047	2.05016437012	0.73739742871	4.67759045401	-4.51162263269	0.428375047157	8.27603349351	-3.16121270429	5.35422890775	-6.50562868066	-0.318302802153	8.1634476866	2.82722505958	2645.49472936	1947.9842856	True	
6.73534197482	0.868926604026	-7.39230099174	7.4424873888	3.54795108232	-1.75364159031	-3.20523275983	6.23457410365	-0.184890572286	4.20628932547	6.60290400082	-3.63482449385	0.00742042421355	6.1449174314	-0.954151801243	-2.45394821528	1.94337953385	-4.07867044553	3.34242902658	6.5480051355	2.39645043584	2310.1928096	1850.58507132	True	
-5.37190285476	6.75404756749	-0.877786850326	4.77273307244	8.10908346667	6.43289174749	-8.13555261913	8.60091834755	4.90781133354	-0.289318930085	8.85426659334	7.66193988426	5.75147309027	8.17726853363	1.59034711802	4.63111229868	3.51762038958	2.00244007249	3.2742247571	-0.658867443949	1.37872010356	4894.37919722	1758.05581775	True	
-0.598943986716	1.76849770147	-6.89439049741	1.31638678344	6.10944048063	-1.79100627512	-4.82254984793	7.95199191733	4.12957289288	8.89653206279	-0.536100086609	8.27620597305	4.42719164863	-2.93031648837	3.3614310642	-1.9884347593	-2.98444815266	1.798243622	7.91649952997	7.30985090817	3.36996819158	1636.67491456	1670.15302687	True	
3.11680519828	-4.09692158302	7.1899716182	-0.126025004622	6.60975378401	9.71843398115	-5.69250737735	8.33766136028	4.7133525868	2.73020647027	-2.92816996923	5.71547637742	-3.37169673624	-2.52165803856	-1.83835989952	5.00992778944	3.67680997736	-0.0784490499926	-3.1313846778	-1.29936568437	2.60229927485	5278.04847437	1586.64537552	False	
8.35787042999	-7.17703818365	5.33758684299	-5.17215337356	4.64888342619	-0.697506499084	8.93333546431	8.90298580041	9.54311715837	-0.396617806476	-3.08648549689	3.95538769658	4.53064230428	7.86764113657	4.52959080295	1.03818728913	-5.1817600387	5.34397769645	6.17996542715	-3.75162203053	1.37460712064	4777.44548682	1586.64537552	True	
-6.12838295144	1.56135957689	5.5117580919	-0.865165645197	8.09510615744	-5.55345828137	3.6949916188	3.07438819643	-0.672934974437	5.80089058247	-2.1214086755	5.4939709171	4.25967542126	1.43702090444	-2.44936406287	1.14580571403	-4.33309008504	1.9333325909	9.89477196577	-8.56882264002	2.87569915475	4764.97392937	1507.31310675	False	
3.13512369415	0.808627271311	5.77192617893	-7.9899097078	8.85402580489	0.665091969899	-1.04603193418	5.55017385103	3.3480179696	2.96941849324	-3.4113822959	1.07108197685	-2.88708360318	2.37224824797	7.09020269533	1.43839526069	2.16460253981	5.05031500242	-2.38994794521	2.25244343678	3.42049137293	4174.74745796	1507.31310675	True	
4.03930440006	2.59354486926	7.20367679732	-6.44052621285	2.55633678603	-1.98020421604	4.25574813588	2.28081610934	5.76294397509	-2.7714196455	6.83652230606	6.5688147248	-0.158094899719	-2.57094604404	1.61933498619	-2.41329515559	-0.307117056068	3.72171245896	-5.97223623832	6.9820242246	1.40192569155	3427.26507671	1431.94745141	True	
-3.82515863999	2.26775314468	7.13923853761	-4.58434033753	-2.43515994246	5.07224267578	-5.76203266709	7.01571467928	2.07360774184	1.65549132398	-0.503020121033	3.8526791283	3.58737560309	-3.25484331061	3.09199929878	5.42291461707	0.870783428812	0.981636549636	3.14474642592	4.17515721111	0.802638530336	3240.10272444	1360.35007884	False	
9.29062337404	2.22629061096	-1.70228255102	2.37777767994	-7.21498479465	8.62839507943	-5.78725448844	-0.924910662368	9.35420616608	4.00110921286	-0.0647726935199	4.83607186991	-6.01865001729	1.04818125511	1.21689708198	4.68642078584	9.31595776505	7.49491721571	5.40662405675	3.6036211464	3.84273387637	4596.54241852	1360.35007884	True	
5.07920693614	-6.06720109348	-1.60790227009	8.52507247902	0.130987974149	4.97449198894	-0.862891142614	-4.75837758919	7.43600874082	9.18739312509	0.518576990047	5.67707896158	-0.549429587004	-2.6332198261	5.65234530124	-2.5256060894	7.36294461048	6.00616353736	1.93341813332	-4.00563982537	1.64899193877	4284.42222112	1292.3325749	False	
