Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Potential	Temperature	Equilibruim
4.38455453664	4.20017837363	4.43531907522	8.06435229325	7.66590209698	6.45094895751	9.14249331462	7.05382506418	1.92595929619	9.10378362032	6.32360082481	2.24469509659	8.6720796951	1.45507749599	5.28757062413	0.580753728168	9.88487314774	5.09358762911	5.02826749091	0.533317102759	8.1109983549	7.40837619395	-2.81474750002	2.16349127434	2.68214472601	89171.4758922	28096.6631271	True	
2.7091131109	3.36557526579	7.6849236	6.5739810601	1.70587123699	2.70894445509	2.2094144457	6.8516949537	1.83673413725	8.33693677201	8.51906971266	0.948962018681	3.53210414129	2.87900497706	8.61124695661	5.77762166212	4.45153030332	3.10124390415	4.07997221933	3.44623907715	3.04217600975	4.73126358981	-2.33700097174	2.04370689024	0.199365336295	64107.7456503	27815.6964958	True	
4.5763587766	3.464613454	1.77671133911	2.68905505672	8.34681428701	2.41324468912	3.04496882581	9.38545689877	3.84417331697	4.95147297273	7.41310329075	8.33992341099	8.1477369507	7.34615591245	9.60201154436	1.41385805328	9.93214910816	8.78542525668	0.307819330759	7.72358583547	3.48335743876	3.84363369229	-2.58595596224	2.35449969219	1.23155387769	31935.0844891	27537.5395309	True	
5.46028715871	0.441282913952	1.78799366818	8.09460573485	1.51743468661	9.2821378614	7.4781826875	7.78906064139	2.86049853464	3.84906429555	3.33604531672	7.67447320956	7.97623725999	4.53343008571	1.8510260233	7.57467535467	4.86057435205	5.20581812632	1.97958461141	9.38334257927	0.1089679577	6.50894130849	-2.09337804426	2.37488609276	0.985271920977	39452.461021	27262.1641356	True	
5.61787708502	1.3885625441	8.39068822065	6.80935242204	5.30894449683	4.89370607666	8.89859266854	3.19323812346	2.83650848518	2.79015231432	0.509667227978	7.41294545534	7.9664975819	5.28642566069	3.07489957929	3.64877023249	7.0719855793	7.83661797461	2.48214970397	8.00235849275	1.12948944394	6.28921304184	-2.1488967538	2.65709304548	3.72994017714	58778.3120338	26989.5424942	True	
2.8829083889	0.823122960933	3.76135112718	2.34553907816	3.99549588635	3.98252538648	8.94197061842	4.26609654735	3.10114661189	1.4559565426	2.26361796614	2.42361125808	3.62234238118	7.33290032978	8.56752841316	6.39914679851	1.8431025761	7.48851174384	8.71017438974	3.60921719366	7.98274716514	4.17906065576	-2.93476859803	1.9464281879	-0.0908116859676	28282.2784856	26719.6470693	True	
5.83161771237	3.89248243999	2.33978818737	5.85512846705	1.19397068913	1.93550610006	3.29258010074	2.87045796478	7.03577287476	3.96343039491	7.87460707576	9.07635530055	0.845031014253	1.63030941088	8.10016559453	2.0206804115	2.40888202361	6.03701577807	5.13601044868	8.33337296728	4.61508813125	9.66450905389	4.62451393063	1.97452384216	2.43624700352	170559.824698	26452.4505986	True	
0.0133998828986	3.49044981729	9.27708041233	7.84309254553	8.59683803892	1.12071064848	6.92255342666	8.97709303217	4.27023331629	0.163715827212	9.06355686673	5.92939100562	4.09979192472	4.50485234252	4.44725880709	5.32991992847	7.12873355427	8.34859415587	7.79777130306	3.13655785637	5.34555392242	1.76921762881	-2.46497494494	2.39796729967	3.67046255681	35290.6968247	26187.9260926	True	
7.55851825065	0.545278358313	6.52946146214	8.76233752033	4.80927941551	1.40433430629	1.95656825915	6.59754894615	0.608989153675	8.78535218005	5.18402694063	4.51515240134	3.84196143773	1.78990486435	3.0208699677	4.08465168729	4.38246346853	1.81708768544	4.3750375904	0.841401812885	0.66974570179	7.94986061701	0.522239509592	2.84345999064	1.48631333875	142741.13394	25926.0468317	True	
4.19519314845	1.6808552067	3.8431621192	8.98859714411	6.75884051744	4.21205736732	8.97935606759	9.73119621533	5.08046933595	3.59731544628	9.47702733034	9.75719202651	7.05505701257	0.447089913081	8.8501517346	5.68484117968	3.90038491376	6.73146432121	5.41186115288	1.4885926493	0.781857310314	7.79368239202	-2.16666553946	2.30563563679	3.88556338842	26083.2054673	25666.7863634	True	
