Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Potential	Temperature	Equilibruim
9.22970221355	7.42649780542	2.68603717194	2.32555419044	2.12006512377	2.00144475016	4.60257122296	5.10512127568	6.34710307525	5.63455283348	8.45813840207	9.77431136928	4.33920618626	0.460236857793	4.748042414	4.71094904104	7.02708402738	7.78739117891	8.76236263637	7.18143285752	4.84891954516	1.13647822057	9.81250775126	0.671820819605	0.931166286882	-0.525915837372	6948.99558801	3840.85512852	True	
3.63672925712	9.49308065902	5.54181843642	1.9186135649	7.54443421886	3.20170613044	5.93793822225	8.94181897374	6.59918965165	0.450144764688	8.97568266303	5.13799763858	4.08822327273	1.00521755565	8.78566489881	4.07088327254	6.96670569562	7.38855530922	0.627073332473	1.40154755483	1.18862382173	2.53656739985	0.65251674037	9.13094183366	1.68717847325	-0.570257512417	7573.5474854	3648.81237209	False	
2.99967116569	4.43829680369	6.20960697531	6.26072595923	8.08847611905	8.54478443071	3.65376484963	5.36461607299	4.51333692346	1.09717741981	1.35739074018	9.90727330911	6.16004147619	1.24800004912	4.34719375405	4.93743687928	5.89448967498	2.87720954898	8.61022475649	4.44882502023	1.11183362016	9.07822428545	5.7658198906	5.03491594837	2.26284224014	1.80014172016	9238.47742303	3648.81237209	True	
5.92526942181	4.13019873629	7.62148019134	2.33330349493	0.4431795565	3.70339844355	4.32822918586	9.51390753604	3.71621885298	1.77695565131	1.07294992854	3.7568727059	1.352369865	1.5759884625	7.66889147221	9.49172280118	6.92894781948	6.25873401122	1.54028105937	1.74089834904	5.64816408555	2.62563712495	7.32538626886	5.9074833691	3.92988552093	-0.765425830142	12019.806115	3466.37175349	True	
1.48505820775	1.17424360766	6.34781369528	6.96778907341	9.23779582192	2.17810764479	1.35776985782	6.03861412209	2.96693772126	7.56305643035	3.56504803957	6.91573699607	5.45985703978	8.63725928381	0.987392339307	6.88350265001	8.78930526676	5.30776275132	9.49698769863	2.34473363228	4.67964847398	1.67122497291	1.47317982845	8.85195336564	2.40782422864	1.98294017259	6741.86714738	3293.05316581	True	
7.2503789115	9.96923600325	2.92978040039	1.60536089213	4.40599156959	3.82395042046	6.75782172885	7.39545679649	0.722454701761	6.85864621182	5.14703140122	0.884651371456	3.87081667413	7.2269809183	6.48283067129	2.71661993976	4.12012398439	7.22391446565	7.65890359571	0.840193424089	0.619205146255	7.07184245771	6.92304411473	8.07217503016	2.08508180334	-0.887026007584	8757.82781305	3128.40050752	True	
0.921739177972	8.12931216284	3.05931117348	3.71024219912	1.9234215229	5.35168091088	5.11843419568	2.10958009558	7.42746091472	4.13742107099	8.72164477087	4.52151394955	5.77778445228	2.20560127154	4.50091919619	2.82980157076	1.75292748996	1.74161004722	5.66902869227	6.76828721392	8.0560010701	3.61842361518	2.08630484599	9.28108199757	1.52883867157	-0.626948070869	8960.51984519	2971.98048214	True	
3.92221491258	4.17515921838	6.03970115685	4.87647049009	9.69243265252	8.72065122959	8.67631294125	8.94772085084	2.67606803151	9.42550079061	4.77186594553	3.05652106757	0.491362229185	2.40666978648	3.98835752173	6.84814681691	4.80846744949	6.91457344058	3.81243689194	1.16703720377	0.864742680577	4.68521018206	7.4007203982	4.54205450134	2.84260068175	-0.869121348365	5797.55626116	2823.38145804	True	
0.938196990448	6.44648398705	8.88825673293	7.81709195728	3.2039653866	5.71355585563	3.39362478099	8.58590725671	3.60664306767	3.76427913044	3.05743680299	9.49389809565	4.38424283444	5.56709722562	3.66903354908	9.4026698215	4.81164406518	5.77473113286	1.83472368837	3.5151511298	6.40108617858	7.25060929806	5.29250476221	6.18326891316	3.27744259011	2.91179401883	6913.09561568	2682.21238514	False	
4.03414216317	1.5358229392	4.24096007065	3.38581059515	0.908953731845	4.34184162385	6.08736812619	3.47304563869	2.51455059319	9.23917620379	8.82020927131	3.12200622551	2.37190867059	7.72205322126	4.16505093049	7.44062478393	3.30135095682	3.87322858937	5.14694938724	1.14016467389	5.36981181925	0.191516050179	8.79190298057	7.42447391069	1.09194764563	1.10111245587	7698.72893518	2682.21238514	False	
