Parameter 1	Parameter 2	Potential	Temperature	Equilibruim
6.03667768399	-0.733478936223	3615.53325021	860.590891164	True	
1.30884101059	-0.459105078729	4880.6996861	851.984982252	True	
8.54294301998	-0.981560763164	3802.47778507	843.46513243	True	
10.2623376696	-0.691960955297	3738.07972696	835.030481106	True	
11.9588303676	-0.760660590487	3554.52835512	826.680176295	True	
1.85916928636	-0.676601556173	3789.16692674	818.413374532	True	
5.56473468418	-0.887387853461	3513.20231384	810.229240786	True	
1.79088632108	-0.664744962738	3833.00329279	802.126948378	True	
13.1524124316	-0.708062251598	3686.59902141	794.105678895	True	
13.2868483905	-0.774354014919	3530.03613751	786.164622106	False	
1.11210477516	-1.14267691194	5114.62698757	786.164622106	True	
14.5390910075	-0.705983348091	3692.97193559	778.302975885	True	
5.64848004054	-0.696448783838	3723.1944457	770.519946126	True	
2.58555957001	-0.711524443947	3675.10586567	762.814746665	True	
7.32715704942	-0.686845851771	3755.42323086	755.186599198	True	
3.92485891505	-0.784441121572	3514.5890159	747.634733206	True	
4.2663108497	-0.777971139383	3524.13504231	740.158385874	True	
13.257488196	-0.761054555404	3553.76357412	732.756802015	True	
11.1409652047	-0.988228752297	3835.11740061	725.429233995	True	
3.57647744898	-0.719645645482	3652.23799644	718.174941655	True	
3.95650626472	-0.835878460327	3476.92479521	710.993192238	True	
11.5199678112	-0.754630624132	3566.67115801	703.883260316	False	
13.8622518817	-0.78715880189	3511.13124087	703.883260316	True	
4.43680685209	-0.985891571004	3823.42315843	696.844427713	True	
10.6145172956	-0.89816081007	3531.03722237	689.875983436	True	
10.8404064046	-0.817055496129	3482.85779655	682.977223601	True	
3.26690235249	-0.906145294746	3546.36977577	676.147451365	True	
8.06775206222	-0.544404178116	4397.45615026	669.385976852	True	
11.2080613494	-0.809960228724	3487.49077552	662.692117083	True	
5.81355092408	-0.887153988627	3512.86329083	656.065195912	True	
3.47759573428	-0.94791918224	3663.11715693	649.504543953	True	
8.00425101624	-1.13521820468	5028.32358769	643.009498514	True	
13.6507200755	-0.738850300926	3602.24050274	636.579403529	True	
5.2126302756	-0.980278543928	3796.36994169	630.213609493	True	
7.00413631413	-0.982195890601	3805.50939375	623.911473398	True	
4.60968349783	-1.13668597414	5045.17399753	617.672358664	True	
14.1317446003	-0.600349473063	4113.0205987	611.495635078	True	
12.5869403168	-0.678331702037	3785.34852374	605.380678727	True	
8.53536092096	-0.677576791751	3788.05911589	599.32687194	True	
