Parameter 1	Parameter 2	Parameter 3	Potential	Temperature	Equilibruim
-7.13984711566	2.19981053309	2.35307566895	4931.37749861	398.01468899	True	
-2.66123768403	-0.287108029375	0.452850852582	4348.21839065	394.0345421	False	
-7.05361079517	-0.41040918007	2.54850001073	4770.89001656	394.0345421	True	
-6.28191597791	0.695112689146	1.76652782421	4320.94950133	390.094196679	True	
-2.43448228079	1.00248090626	0.216153119163	4470.77774073	386.193254712	True	
-8.0204249637	2.01560346734	2.76122740955	5131.39302029	382.331322165	True	
-4.76605087336	0.769214444933	1.23690214767	4399.3809409	378.508008943	True	
-4.38670651549	1.79963658005	1.05469699104	4387.51442894	374.722928854	True	
-0.747139756177	2.1693333811	-0.499651228045	5070.36534176	370.975699565	True	
-9.01785791213	0.878742327653	2.96359079656	4294.34611094	367.26594257	False	
-6.03475425692	2.06533899049	1.72371462037	4279.94151868	367.26594257	True	
-3.19432538175	2.52950349082	0.480453957283	4335.1620305	363.593283144	True	
-3.47889474739	2.4915509182	0.70230457804	4569.25741031	359.957350313	True	
-3.26708759043	0.836621227795	0.707514070111	5113.14258801	356.357776809	True	
-3.99578023578	0.856089648091	0.845905039736	4294.36331594	352.794199041	True	
-3.78942854386	0.803520035899	0.670759378258	4409.52777474	349.266257051	True	
-4.89683822872	-0.348591139406	1.27522174624	4185.29995631	345.77359448	True	
-2.47030433224	-0.658939857536	0.584325098536	4216.00689675	342.315858536	True	
-7.03166397983	-0.801878505218	2.48012134429	4110.74805087	338.89269995	True	
-3.7939781689	0.237190195259	0.754105555197	4262.57619555	335.503772951	True	
-6.33433251726	0.923312194924	1.89546499717	4337.61466413	332.148735221	True	
-7.14505562259	2.03392410045	2.16225534567	4277.23663138	328.827247869	True	
-4.31420567307	1.8613986423	0.855471772321	4558.74632234	325.53897539	True	
-2.4826823928	2.90468071055	0.187900403072	4410.03915902	322.283585636	True	
-5.17923787278	0.665973238101	1.28081051852	4349.96349458	319.06074978	True	
-6.10698075981	0.582276105046	1.81256959821	4348.60615004	315.870142282	True	
-1.88473944694	-0.641201300357	0.446447839838	4527.8824391	312.711440859	True	
-4.56357033471	-0.209127160615	1.31311550105	4543.76887537	309.584326451	True	
-5.66202211841	0.787573481638	1.46296779066	4440.62864241	306.488483186	True	
-6.92882698817	0.320811690517	2.18146095438	4328.84919397	303.423598354	True	
-4.9936021057	0.287925864068	1.27485061295	4239.8769145	300.389362371	True	
-7.65981578124	-0.735937149517	2.88402411683	4127.92814501	297.385468747	True	
-5.43740270128	-0.87404260188	2.04536319757	4248.14812108	294.41161406	True	
-5.30006628508	2.63415060852	1.55591021526	4947.26331657	291.467497919	True	
-4.75461231331	-0.742120964026	1.35950438027	4207.71577437	288.55282294	True	
-2.74277751771	-0.653253714191	0.557204140619	4103.44769857	285.667294711	True	
-5.26865715655	0.17663719444	1.39984723116	4227.08578238	282.810621763	True	
-2.97881098008	2.04909357208	0.609883776826	5451.86095577	279.982515546	True	
-1.23538279373	1.8152648623	-0.342997617868	4780.42697436	277.18269039	True	
-8.16236931304	-0.496178840158	2.87828420543	4122.07959693	274.410863486	True	
-3.88904478953	1.84487310661	0.797133370238	4310.90022635	271.666754852	True	
-6.60993110249	1.66302071382	1.89725153348	4342.00577236	268.950087303	True	
-7.53013830353	1.39873941919	2.33447460732	4271.10726739	266.26058643	True	
-4.24460063956	-0.739417313013	1.31968210788	4065.01563934	263.597980566	True	
-7.09106344151	-0.0230062553674	2.39004124463	4707.0524492	260.96200076	True	
-6.08490676089	-0.0434140604131	1.79576982174	4195.64638397	258.352380752	True	
-7.50484010378	-0.767906374885	2.77799057964	4074.10374374	255.768856945	True	
-8.16434160539	-0.0996301169276	2.88664584294	4767.94640365	253.211168376	True	
-6.63693912551	-0.562022405646	2.3960722312	4404.77994883	250.679056692	True	
-8.25978245062	2.28626361247	2.80468071769	4697.37212733	248.172266125	True	
-6.49581460425	-0.785774160509	2.37450321923	4096.91684678	245.690543464	True	
-7.38543106788	-0.726478100679	2.59686120977	4050.29273912	243.233638029	True	
-6.97578094842	-0.716428490679	2.39671794022	4056.83972228	240.801301649	True	
-4.93075724559	-0.801633123912	1.95642840279	4471.45501052	238.393288632	True	
-7.25880384507	2.49721867417	2.30513772457	4390.21610131	236.009355746	True	
-8.52630048002	0.176269017474	2.80073817653	4225.13497869	233.649262188	False	
-7.36107562649	-0.539021117115	2.74484863925	4588.07342807	233.649262188	True	
-7.53610158841	1.75367755293	2.49515821773	4720.56963579	231.312769567	True	
