Parameter 1	Parameter 2	Parameter 3	Parameter 4	Potential	Temperature	Equilibruim
3.33432196229	-2.85875736331	-0.49323740982	2.47029546502	1145.32060692	868.947535227	True	
2.79899949924	-2.93113632881	2.90471178883	1.40240856671	5193.5146261	860.258059875	True	
3.38145422382	2.15438438871	-0.172822480922	2.65017855637	3314.92760306	851.655479276	True	
5.46235528315	6.79613487355	-0.579162239914	1.92649228901	3163.63728055	843.138924483	True	
2.08086440692	6.38731081811	-0.506609869394	1.41777538483	2022.40584903	834.707535239	True	
3.73145721446	7.95032298013	-0.398753661489	2.84679894692	2310.67555947	826.360459886	True	
1.88525740449	-3.38985545634	-0.0884416250193	2.5710874953	1874.97308078	818.096855287	True	
2.34031428576	-4.00301907898	-0.0812059292244	1.86364952401	2917.4631165	809.915886734	True	
2.39727453705	-0.52953712884	-0.483396579955	1.30477109705	1269.09229088	801.816727867	True	
2.57344580455	6.21658227686	-0.106422474891	1.64836577189	3084.81674426	793.798560588	True	
3.10775195385	3.30430308572	-0.461432400696	1.63977780344	1598.57120674	785.860574983	False	
3.27031834454	6.21945735444	-0.309145753146	2.64456377509	2401.46632053	785.860574983	True	
1.99760250695	-2.2069915717	0.49860051286	1.20174734368	3950.45705403	778.001969233	True	
3.22701026468	-3.08569011412	-0.581342506051	2.50194817698	1320.45127667	770.22194954	True	
3.56570718277	8.7937402882	-0.406355793284	2.31414593234	2146.15828464	762.519730045	True	
5.00677799655	0.191442340139	-0.695651149371	2.42382665091	2992.72020389	754.894532744	True	
7.70083173268	1.71814098328	-0.475575484236	2.83604284641	4277.80542464	747.345587417	True	
3.76180565684	0.148806965705	-0.299006903656	2.38822351373	2605.23515054	739.872131543	True	
3.39839906914	1.41490690344	-0.544586177963	1.53322837256	1516.40796644	732.473410227	False	
3.546129331	2.59978653676	-0.513493904401	2.93313089647	1825.6735529	732.473410227	True	
2.74217376255	8.04483681519	-0.481569895808	2.32469549933	1666.07056376	725.148676125	True	
3.06835487694	-0.176766612035	-0.217113995214	2.63470457466	2521.32829992	717.897189364	True	
0.857922115602	3.91300568222	0.103362611112	2.62797235735	3539.4643619	710.71821747	True	
2.20119182571	-3.5886064628	-0.305876211878	2.17065323783	1651.46896523	703.611035296	True	
3.18857325716	9.24921993649	-0.318969832511	2.67901172666	2289.98711286	696.574924943	True	
1.77525655878	-1.10588896803	-0.194338423014	1.5037448551	1595.93223602	689.609175693	True	
2.42776168407	-0.877956767499	-0.0558140372411	1.6683535204	2211.21460672	682.713083936	True	
4.07475834353	9.7089575523	-0.440051307021	2.04823412057	2414.5706798	675.885953097	True	
1.43921065967	-4.01392562734	0.0615585125366	2.59828496122	2523.40050972	669.127093566	True	
3.30491258816	-0.395541132177	-0.748313956319	1.65646073477	2761.04817465	662.43582263	True	
3.34393865018	7.51266951278	-0.623993741183	2.7601619675	1980.39535675	655.811464404	True	
0.977817620237	-2.42756642829	-0.0321508882829	2.10637995355	2409.78556958	649.25334976	True	
2.77329152978	1.57362005976	-0.3049588407	1.72674316686	1801.7550332	642.760816262	True	
3.47511615604	0.513728880711	-0.609740668322	2.81589307042	1833.18374843	636.3332081	True	
5.00681648072	-1.70801067985	-0.615086956157	2.43774454222	2491.37561914	629.969876019	True	
4.36635123832	0.956630711354	-0.470883665558	1.38436548648	2080.12894546	623.670177259	True	
