Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Potential	Temperature	Equilibruim
9.54955577373	3.58012823277	0.916041075165	11.0853618262	1.45768833942	7.1772204346	6.15931024988	7.54975164029	2.38848931102	-0.423325729455	1.6409417129	0.371656846461	-1.04142853559	2.19838216629	2.64564586998	2.54186116706	0.222081532289	1.45652494017	1.2908730133	4.03073861503	5.08220459359	5.88223484261	9.53065574196	5.50776410375	1.36854875545	1.63741174578	6.00579085972	1.66918586314	3.12500336198	1.68025367235	1.38849106194	5.35214338717	5.80198636126	5.17121084295	2.64483861721	2.65495428752	395869.45235	69833.7296094	False	
6.18591840246	7.29147793204	0.432600585307	9.31740264045	5.729321939	8.34224235385	2.92143601758	5.76378960365	-2.79494212906	3.70606087669	-0.12709398695	-0.683665660868	-0.704055469508	8.8676396592	8.99181929418	4.15289526611	1.76206088561	5.46651571598	1.4026063293	9.830382596	4.38051200176	7.78811353158	6.14877062913	3.24126218832	9.81308091257	5.29979732256	9.06208722344	0.427307291423	8.05777511866	6.04428474444	3.51461940594	0.0805880217624	3.42932501634	-0.931634885842	2.95380097684	-0.461212600241	156088.780909	69833.7296094	True	
3.0824420348	4.26556501968	10.3534630295	0.390792369646	7.16550156888	1.8089423979	6.22113222633	9.42179275293	6.74399508743	0.861150566633	-2.83115465185	3.39913550147	6.88743924797	4.36417017506	7.73471437349	8.8685001481	8.35878099186	2.92476204823	5.66617970366	2.68383098229	3.14130036584	8.31090270572	0.0892260613414	1.97008379158	4.86512579888	7.78359515547	9.20253703041	7.48480129776	9.69351598503	1.53646228454	7.09727067044	3.02472917579	2.48108224678	3.73497869632	2.60075355176	-0.349228824968	397426.72004	66342.0431289	True	
9.04742398925	10.0256368619	1.6626457646	7.63764697573	6.91965100704	2.41826377205	0.330915283752	7.8588980587	-1.35998227916	3.96322606326	3.70613757644	5.36740276473	-1.12637425939	1.61734746383	9.28404153928	9.02279135535	8.35998093717	7.69989791932	7.77914097048	4.04486421767	7.12211227782	6.03290784667	4.27554197969	4.2233799817	3.34475885984	0.0932959675762	4.11559303975	4.11384444621	5.90964061502	8.79627015253	5.58031668752	0.370895044594	4.98601684663	4.03694682883	2.95417266394	0.184271068071	138306.625708	63024.9409725	False	
4.22516041445	5.07839414283	7.56792085941	5.68530992985	9.87181331104	1.84525726632	4.87880557106	6.73498016783	4.53797495181	-0.233754579426	7.28458413199	5.63612179634	6.95615965516	5.96774992753	4.8738387632	2.16563891653	3.20763700567	1.89830831785	2.02630322105	1.10416373811	9.05715774637	3.28388174032	9.51270557799	9.27123371187	2.6412127827	3.26298966836	4.00274880649	7.50342167002	3.36637659304	4.97195419759	2.14370266581	0.332324605962	7.35089609224	1.29010983345	2.76228321639	3.91947196062	234671.842536	63024.9409725	True	
1.2250161833	0.360636571244	6.58198333126	6.61069241647	8.53904221487	5.64036043219	4.94235787629	5.06509712508	8.22601307924	1.71705948509	3.69816411792	2.86869666825	5.5067254259	0.852616475563	2.87782778827	0.574901976219	3.93792590097	7.11818778959	3.33577258197	1.69297440253	6.49095108844	3.14042874224	3.85255234744	8.78138855363	9.04303919177	3.49573723793	7.63546792887	7.93136657368	7.84941188136	5.64409023408	4.26348200921	3.91158397612	1.40653030496	4.11392512623	2.31456146048	2.87605462097	434225.483299	59873.6939238	True	
1.96312469916	1.09470610829	5.63232000765	8.76735708537	1.97641169672	0.6012306034	2.70057919175	4.24631896559	0.498762971571	3.81358770888	3.69296733927	0.976353165359	-0.963637048655	5.89498923209	8.06393232706	6.99530235432	9.23337633916	7.98700146135	4.94381596416	6.04657064535	9.05666221298	1.34668235346	4.33154091148	5.66827231566	5.06880286672	5.9557986553	2.35966531444	1.151636495	8.78868517952	4.08483700151	8.04522826073	8.29053768883	0.654785858913	-1.56479385917	2.72220048984	1.77056706653	164755.81107	56880.0092276	True	
1.38210656484	3.49983222194	1.07077713295	7.05722527881	3.50254453443	4.66105417736	5.01070962391	6.32871657987	-0.557852551506	-2.25132625681	1.67734719175	-2.15051915755	5.48921830548	6.80316106227	6.61669020403	8.06667724035	0.591371508152	1.17817624321	1.84319831789	2.4552951993	4.04913710702	6.3572129379	5.75877648678	1.42163944241	7.96867405111	5.14135422479	0.224892551274	5.10040950415	4.09310776798	4.9294861472	0.426084039799	0.678097035117	6.95984609236	-2.14334270596	2.892052464	1.99202852658	108670.877774	54036.0087663	True	
5.09624170529	5.52259988466	7.09532660456	3.73415441689	7.6428839051	7.64050821757	9.45213522582	5.7709104988	0.464363892934	-1.62148255259	6.00807327922	-0.732252835383	3.58391971378	8.80787607795	3.86978500017	4.53727586134	3.50988928879	7.87309200416	1.7728695296	8.78137538823	7.21556105718	8.06497262972	5.04196530384	9.31640931336	7.69882818089	8.34099101568	9.0686135233	1.00666922111	6.41464908986	2.97358872602	8.99511410402	7.73840642267	8.8370705	2.15512420712	2.56479791804	0.390189317977	178874.146993	51334.208328	True	
8.2711201137	5.24370959521	4.73075206811	9.83395580764	5.35436079192	5.7997661402	9.11252335617	1.98953428906	8.41186287717	0.368336916326	-1.00609924164	-0.689303812738	1.96504847745	9.23269912731	9.05000143665	9.00236294586	7.12135941936	3.27445557554	5.44302339502	1.35000081354	4.20297043345	1.26605614556	5.81605343584	2.23011900963	7.84674489815	1.21773152111	8.76492437967	1.41248941536	4.24458687527	1.62052588113	6.84132039268	7.57509654726	7.84207146192	4.23926377024	2.9913070713	-0.788220013123	247755.690771	48767.4979116	True	
