Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Potential	Temperature	Equilibruim
1.72676521369	0.507296138288	-0.889077748089	5.02906100742	5.19775417717	6.45171845075	5.39938535291	5.82168294051	3.28241756784	6.55480421479	3.6631582148	4.97695816464	7.00535975693	4.25735247594	3.01791841192	6.69477365446	7.03460868979	6.58827893866	6.11001198006	5.88576675773	4.99966365995	3.99170437265	6.64453158801	-1.45494946224	-0.269950329395	-0.681677550085	3.65986113829	23052.2938714	9131.95718135	True	
3.36140736725	4.12469072123	5.85727300231	3.31699553222	5.50635352772	3.8689154436	6.91839628246	2.69018503549	5.59812585751	6.91305121934	5.53681347942	5.95979564189	5.98306749196	3.22965851753	3.83001586601	6.33588560323	5.50628408435	6.31508280506	5.8610109782	7.07178834187	6.16973008781	3.47625082484	2.88558258299	-3.03701114674	-1.04777610215	0.54982068404	3.53253626897	21309.7037482	8675.35932229	False	
2.99167022696	4.04879821856	7.80680335338	3.29860712508	3.34041395359	3.67397777865	5.88377879376	3.52451610812	7.21636294291	5.8264403383	5.50676957089	3.48408202054	5.8613682367	3.51255293062	4.8343556632	7.04052302227	2.7262690313	7.19940642395	6.56131853756	5.11856311623	3.49504740702	2.68138511523	3.67918886069	-3.0789525903	-0.863020198782	2.26003985076	3.14841975744	14631.4260483	8675.35932229	True	
2.67377422783	-0.263465072405	2.50179728902	7.22584079955	4.58649021708	5.35749928063	2.60196691264	5.54804180772	5.04793827941	5.22095322693	4.96248412958	3.33137868403	4.87048806616	5.86692082595	2.59606958708	7.10946324502	5.60324037405	7.06453213597	6.86127611682	5.1999725316	6.34988544363	3.47393480221	2.51413625377	-2.87165025253	-1.13516960124	2.00425248529	0.0686321277335	47538.0481325	8241.59135617	True	
2.17280908547	5.38186268236	-0.117273365072	6.19916858825	7.23560368356	7.16122542294	3.3455306736	3.48805904933	6.35612938825	3.89001013225	4.63810571665	4.70390235123	4.57910621316	5.00220895409	2.69325757808	4.63341696651	3.93081614288	3.90425629136	7.49008798466	3.94761960225	4.86423336044	5.48389119194	3.65059840565	-3.07349324068	-0.942547715997	1.47135699708	3.7849501881	16288.8513878	7829.51178836	True	
1.99809907835	2.26818961579	3.70262853492	4.55307865064	6.99630570619	7.24279129455	6.65655610807	6.64889632294	3.38075612779	4.2350219184	7.39534415108	2.94419684011	6.09005286069	4.76559176194	3.91000360386	6.35790805568	5.69937844128	4.89039333821	6.65935512761	3.31012252537	4.05177819283	5.73441169053	6.72169981009	-3.13148227457	2.82122356745	-0.652425335886	0.747771107917	25758.1943391	7438.03619895	True	
2.68729160378	2.66505604843	2.00417190559	3.57186583826	7.30915975664	6.17705979489	5.13615071595	6.97977953823	3.02619741232	4.2321180194	5.7531573347	2.7424667823	5.69167988561	5.50329315611	3.890037575	7.39046606999	7.34867246887	6.47694128159	5.81038566128	6.06289346358	6.26773841607	3.94633616283	5.00024387919	-3.05114898585	-0.100162162439	-0.404577900997	2.36943897808	24402.5268786	7066.134389	True	
3.64184241326	8.9571426039	0.360756665939	6.4189363387	6.99335968846	5.73106332524	6.45987043471	6.13810437388	4.49513213101	5.17511091255	4.60136890347	6.94156469689	3.05158385136	2.64484071636	3.79858657429	5.91848728651	6.73165346269	6.02598010932	2.55803686856	3.54910176369	2.63567614077	2.91612771472	3.5606114825	-3.18016908447	0.838387648487	-0.902050709115	2.94573583237	28238.37677	6712.82766955	True	
2.21073088003	2.14337887285	-7.43224849935	7.19859764729	4.77823349042	4.95344205962	5.86651057356	6.75112829831	5.63089901771	4.63444737305	6.5453704935	6.96733614597	4.08850077925	3.68338893457	4.37957790262	2.77395144385	5.70818779042	6.23396889129	3.5265151439	5.68627125263	4.67561760906	4.56115274152	3.61134362829	-0.455287770266	2.58410332699	-0.670037947788	2.92374271203	19415.6785544	6377.18628607	True	
2.1809732843	0.254959461441	0.500687682231	6.60046411071	5.18245922973	6.88812479236	6.94120642961	5.95821419945	4.79995962017	4.64446089723	5.52881273572	6.20169707904	2.89167116448	4.73536880523	2.53249804722	2.68505198748	3.28406136317	6.40280008729	2.94821322154	5.72819635926	4.78389032014	4.1074811731	2.64622954747	-0.311685526399	-0.307423123361	-0.402337601196	1.69486472824	28424.3293982	6058.32697177	True	
2.46096547307	2.16249300853	-7.41611076413	7.39575566152	5.11384572393	4.73928498128	2.86483856268	6.32209326603	5.89457078699	4.64870729836	3.04771870015	6.05502925723	3.77006811984	6.51933382979	5.00171707327	3.06229938504	5.44032622643	3.46899199628	3.14915523747	6.83335978317	6.01268274132	5.19559145845	3.66722581902	-2.09277915098	-0.825754812324	0.743181182208	3.36783154179	10271.3101229	5755.41062318	False	
2.91065136591	2.68936526514	-4.70157027424	6.03367220828	4.68233849419	6.02580460029	2.50823073064	6.40659233283	4.85144671275	4.18954985741	5.96466362256	6.49887533194	6.13576455331	6.27592489549	4.32067949975	2.8755167867	4.4234257232	4.33444087956	3.38508539158	6.46381822475	5.41365610149	4.58247401244	4.50722726725	-0.74527730847	-0.105206552251	0.0928488451761	1.41080716109	19688.7630225	5755.41062318	False	
1.89596830075	1.35206156356	-9.29409561043	5.65828350226	5.62429552618	2.76056486249	2.67540599798	7.32452624931	4.3111189796	4.35574539878	4.72693216432	6.25794222955	5.26139844576	4.97103979055	4.78789395726	5.40554902688	5.5909787869	4.11353343237	4.23265248885	4.69153382077	4.4926086563	4.90916210239	3.83782650462	-0.718592085053	-0.585238852799	1.08232153248	3.48648890798	15184.4990286	5755.41062318	False	
1.98940900334	1.78623810732	-7.31913710277	5.01333845827	6.1087373422	3.96395533787	3.66775010413	3.20578713255	3.58400841419	3.35037879808	6.71433043676	4.77441324397	7.11590733219	5.64709374916	4.4085575274	2.7067697102	5.22499549869	4.41397751553	5.40655400737	6.27174945387	5.03960903365	4.13484972664	5.43061423312	-1.32285469755	-0.544122436109	2.49227935102	3.00363929883	19318.2818263	5755.41062318	True	
2.44964112757	2.42331126843	-4.66151948565	7.47981742038	7.00478605762	7.16809445749	5.55712016242	2.98362079358	3.10176630471	6.31452249508	5.99809720182	3.24938572	7.19278468818	5.20290421578	5.15130909616	2.73036268075	5.58326696919	3.25208265639	5.32144840867	5.56017563853	5.25881016903	2.70315433243	5.2661519627	-0.183008188139	-0.833852765685	0.994934119665	2.35586711131	20904.0169635	5467.64009202	True	
2.14425468236	1.66966422616	-7.09336370074	6.56654443749	7.09205798769	4.39571941157	5.91545098287	2.8842953915	3.46724697286	2.60713340012	6.84983476466	4.07250126939	6.72310556943	6.54778339218	2.87704398422	3.31819001641	5.05923514716	2.95694848428	6.07133689701	2.98724464362	3.90222947614	2.76887117821	2.90770149359	-1.58999050776	-0.725959843223	1.51120333468	2.21275750835	26815.3142898	5194.25808742	True	
