Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Potential	Temperature	Equilibruim
1.87479404726	1.33847043842	0.761168420366	3.11509543351	4.09679695985	1.92826574155	1.96514409447	2.73326478527	7.5562048738	5.53768043455	6.90234560374	7.29299126333	3.74998000394	6.8630129774	7.84664572905	2.50637656242	1.94613669768	2.91185001398	3.53386941693	7.22361896861	5.64083387452	9.85933722264	6.41365100202	6.42565539414	6.97547286523	-1.14955606615	1.7126620151	0.763518553526	54900.588385	27931.5200959	True	
2.79471042377	3.24354027775	5.41061513031	9.95848719737	0.52126219359	9.26364754738	9.01985981662	3.18966261821	6.60231127929	5.68065483104	6.06290586972	1.36607532733	5.38350345838	3.55561156081	5.64648002019	1.69767638707	8.82303751855	3.57135313284	3.61852477715	6.11761346314	6.14179651077	4.38731947657	4.3768847555	5.94968113455	0.776064355322	-1.53645038429	3.2340889151	1.85271352959	27690.8565492	26534.9440911	True	
0.757637270032	6.79726339645	4.52598023335	1.73812092832	3.60082639837	5.09869665478	8.15899209482	4.05480398466	7.62212568511	5.69314509418	7.13866672316	1.86887270191	1.48788908415	8.46742676191	5.87194467806	4.82960546028	0.751158829756	3.58522100159	6.34687599909	1.76542171951	5.4415508277	8.52496558259	8.40041651825	7.34994849855	5.37485453403	-2.93662016483	0.841128940654	0.867276153153	27688.8267549	25208.1968865	True	
2.09454869996	3.50355234542	8.68080218649	6.65008114998	1.39436424589	4.761909024	3.82205778418	5.37841462929	4.61694597714	1.39845697483	6.54792800582	4.96666335925	4.08463955665	0.356639242844	7.99834827433	1.49222892879	7.92257085956	9.95369482892	6.5128505649	6.72244179151	9.736408384	4.45293539001	0.14609997622	4.58285125703	0.254469862288	-1.7113618226	1.85631048893	1.89932018442	85184.0263264	23947.7870422	True	
2.47782449617	3.74529173909	9.61925419962	9.23953887337	4.80266644771	6.94799071472	0.293970181107	9.53819946651	1.72320802561	6.18779327152	7.92251078127	4.67416740545	0.270445182203	4.62794119963	4.57982174705	8.48428603011	0.827588472002	6.92975370289	3.20898494794	0.135893113369	4.30560916121	1.38307024295	5.92302481908	2.03902191075	3.47972871079	-2.90430214375	3.03707791068	2.69162941105	28823.0886184	22750.3976901	True	
0.597940572516	4.57777634898	1.15812109302	1.01148086225	4.58158240852	1.98491161161	7.84071567958	5.01276297515	8.88225969426	4.89909735872	9.74826102958	7.12609671153	5.8161892678	8.63470357302	7.28585269781	3.05357567926	2.94184405039	1.36494286738	9.93423193915	4.3536487813	5.55347499144	9.71361461473	5.81610034535	9.83206448562	9.08994854424	-2.31615399221	2.19288098715	-0.697280097468	38578.8657959	21612.8778056	True	
0.535311168353	3.23662936973	7.50705159118	7.55695696781	6.76936580663	9.00812001275	7.62214741667	3.54553337003	6.79394918722	3.44765305297	3.6515244097	4.33939995952	4.08542817309	5.84294785795	2.6170397347	3.80485546914	1.28024756368	5.67349470116	3.79937455157	3.83593780779	0.758887861955	3.6933282598	1.40627938678	3.02556188195	0.907574357323	-2.53009204608	2.61156105288	2.81643375929	19401.4155104	20532.2339153	True	
1.10467889231	9.3969727609	7.06254989827	3.85507035546	1.78404535686	3.69826058184	6.28007325858	5.13603073992	7.16421269937	2.12575961606	9.0971390197	2.27052483497	1.17309657225	4.29456677708	7.69081058249	7.90461347793	4.36596906538	7.63171854669	6.9633722157	3.62393607604	2.59023688288	2.25587071097	2.83899578873	8.96597225273	4.20142753738	-2.85406820182	1.42854454388	-0.00744276129568	40912.6692964	19505.6222196	True	
1.38362273245	1.0821439036	1.72386235049	6.92809156403	9.29261658367	7.82967775099	6.30158423687	7.44100342312	3.13774203267	5.40640108563	9.07530398145	5.58197996101	8.72737507588	6.29616739796	0.268339515168	2.10158690615	2.48711929721	5.85065519741	0.817972181475	9.90620491899	7.24027475136	4.29635442389	8.74003504212	6.67800459189	2.52209784237	-2.48562464908	3.4486945527	1.96064397091	15263.2490869	18530.3411086	False	
2.34898367316	1.68080152673	2.55064369724	2.81529919382	1.21981184312	0.845418171398	2.7268390855	6.08031394745	9.06272842453	8.37024074556	4.94017110566	5.64893607639	3.36404166361	5.79664213915	6.12443196963	5.00670541204	1.92303184067	6.90674239933	6.12456672824	2.53298968291	8.04048871378	5.59890969605	8.71423703481	9.10249753118	7.2803001112	-2.43830183638	0.615956934341	1.92554271571	17306.9477601	18530.3411086	True	
2.6016957582	2.59461524669	0.672626157076	9.04832225073	7.03246552683	8.05275297964	7.21461544151	8.49075082396	6.57646019285	0.99716519737	8.78807236212	2.58243473489	3.41359381001	7.85364204664	7.91798974163	5.75736038669	6.02458588088	1.51259335543	1.76405596262	0.303999503221	0.864414757025	7.92399628718	1.26914288663	3.38174914401	6.66180662087	0.154165902278	3.02742049591	3.38617418476	23504.6911353	17603.8240531	True	
0.763351648512	2.29154573652	4.02115744293	7.63152680053	1.87540632414	3.97672425501	7.05972715989	0.940110860864	2.42509400698	4.49612886335	2.64917453767	3.84567040328	7.44245478929	8.63958061326	1.20693293309	3.34049207289	9.82075098392	9.12588012824	2.39270525911	5.15127895873	7.84262008072	4.94870022182	2.09137071204	1.71368443786	8.27458693623	-2.4358460687	2.31940013928	2.58326232318	20667.6332395	16723.6328505	True	
2.38903326552	1.47619531575	2.58107500709	3.7355445563	7.35298192107	1.89994186626	5.10153206374	2.35063026462	4.16593931744	3.66591041408	4.73033899412	5.40920212005	0.931962922877	8.66003046665	9.08994097653	1.8346989053	4.35913544409	9.25969473862	9.59871095954	6.86223252366	0.422325731943	9.12613655794	1.51536704787	0.27664413986	5.91553719553	-1.800064836	2.58507968982	0.640066925409	55340.0980247	15887.451208	False	
2.86230151497	3.52926971411	9.2943905506	3.18487108168	8.83113268477	3.10261577565	1.31743378761	4.74527727308	5.56510523265	4.81952461642	7.1840376731	9.19126316092	3.63225745403	2.52919595727	7.06357494348	2.14820861477	8.3541669953	6.69097310036	4.06770082585	5.48577362825	7.51192156435	8.90553378786	4.41415839802	4.14582253812	0.99145271591	-2.56127066326	3.03752790339	0.218344939708	39178.4128269	15887.451208	True	
2.19051296019	3.57178814205	6.56790017815	7.97196799487	4.65297842959	1.35681887642	3.06906246706	5.2680064235	6.32196604652	5.15866837448	4.82838746984	4.02799435495	2.15774806689	0.401366979825	1.69842217364	5.1598388199	3.70608261494	3.68783347486	4.76637301129	1.5438969833	1.38291447785	8.24018476417	9.33138778988	0.103109631753	4.37667638173	-2.60666594978	2.68496779727	2.92722894934	18896.7584069	15093.0786476	True	
2.25664282963	1.54257657394	3.02285685153	5.07590865569	2.18570526361	7.86672230054	1.1778321648	5.99072059945	3.29808417309	6.9012512535	7.59370666083	2.68262618677	5.22352573438	6.77790391715	1.27774978358	6.31875100786	7.68745707513	8.83335486761	0.90397481892	6.38107722407	7.87341440201	4.98543258984	6.00269321132	7.23970883601	1.27899493796	-2.33491861275	1.56508066767	-0.425261838461	17102.8247614	14338.4247152	True	
1.46569951561	0.312633767324	1.41903256681	4.55163965471	0.610924456061	1.65362882458	2.66769612199	8.42826696592	4.98950511435	9.97628388966	2.78926439541	0.110429573204	8.27098700562	6.55017059938	2.93645477416	2.8227310379	7.40457034292	4.43030610192	8.86024289527	8.73896103072	2.1663156278	1.86189800166	2.18863603462	2.02363002997	3.97643629936	2.32076912123	4.54585560334	-0.869537134654	17516.5170245	13621.5034794	True	
2.74129833283	3.65095283609	7.31288755364	1.1881881222	0.0858480048368	0.878626051438	7.58475430418	0.386905399321	1.00129121532	9.34882147757	3.79662147938	0.479865847203	1.70806913979	2.57909508987	3.70117235472	5.64692473191	7.90465721713	0.896207889866	4.00621366489	2.56213180868	8.18190019461	7.18206564732	2.40267646743	7.91851030193	6.746027549	0.633757436564	-0.555608321352	-0.0249076579066	69137.2052051	12940.4283055	True	
2.32758154622	8.58382440168	7.80787751529	2.18892390675	0.751780223487	2.72646432703	1.20013246803	6.76191869867	4.60678638828	5.32251482072	3.62511079183	9.68998478212	4.39364648425	0.5634968121	5.15269041924	5.1692458554	0.805994939112	1.00727020971	6.71991380982	0.920061642992	1.94494837015	8.67194544649	7.37380783604	3.7689666461	3.78426678718	0.695606815908	-0.186557135231	-0.20579603947	89265.1997528	12293.4068902	True	
2.82248087737	2.5391293644	0.196724341941	1.17113043733	2.87260676799	7.04622182905	9.15021926847	5.37080253265	1.65455014655	4.76136000757	5.14560798255	7.99667588704	7.86787621658	5.96711977797	0.0275668304275	0.276872617689	6.68938906149	9.19617385891	4.69238470221	5.64137363508	4.90689744456	4.07124617136	6.50613368	0.72758503731	2.71654050873	-1.76362640745	0.590250574822	2.37646814874	15286.9931962	11678.7365457	False	
2.73433221424	5.03812666142	5.62887710892	1.84776181678	1.08186622628	9.97184460016	4.20855643205	8.45112853647	4.49366701078	8.62570710412	1.07711218653	6.85660775023	4.77418710601	1.69965095566	6.04854194904	8.1563945733	5.60772543238	3.65683471303	5.55882951589	1.72229921344	0.728400201678	3.26653770657	5.74493556646	3.28473812239	2.80391210126	-0.778410849298	-0.207512123301	-0.0368565143147	50274.9964443	11678.7365457	False	
