Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Potential	Equilibruim
0.750209639921	7.12765878957	7.51550326313	2.47917118795	8.93157463824	6.90038385395	7.79831525121	7.45808029298	7.98170929768	4.81994548196	6.7615143434	6.75722861306	5.30979499011	3.24547162541	329580.33015	True	
2.23699596153	3.28431332523	4.4375214667	1.48209230043	7.80474598863	6.14353909143	6.09994046992	8.32014641602	0.871478036211	3.68669159069	6.44322892705	9.9861580057	5.5841399781	4.21680494935	243803.683857	True	
4.88573565571	7.49941895728	3.74827542419	8.86669841533	6.6697656385	7.38110395208	4.02630357142	5.59098933412	1.93485197966	5.85172469469	4.46057302882	9.08942107296	5.25281944996	5.0253369232	311349.672563	True	
5.17174639816	2.88902471449	6.89448458854	9.07784029712	3.92523635144	9.27321829523	6.36895218727	9.28931516851	3.82340416199	4.45642539808	2.09495630917	4.80166547027	5.4284181656	4.76630162912	206733.963372	True	
0.358895007063	3.09640632824	3.05799353604	8.69358585044	7.96843752987	2.91964765187	2.13085288605	1.5132152225	8.76511197259	1.79493107977	4.8674275652	7.91606537679	5.16924242331	5.3964355606	309640.230981	True	
1.24015586176	2.92130679111	2.1465993388	3.4997563257	3.47287124999	4.08424775092	1.89350288994	2.99548584827	6.71400698161	4.41225843332	1.32574810952	9.097912111	5.75355461407	3.53757025861	153465.958505	True	
2.19101316378	0.336329277838	3.59726840407	1.78895022612	8.24611904546	3.55997300975	1.67053645684	5.49843327051	9.83883920642	6.24491775661	8.4925533794	3.46750018997	5.51236780375	5.20010108242	218309.459699	True	
1.8244111131	3.66228484317	6.72782336408	7.24963951884	8.59969471428	8.90699822992	0.500972393464	4.91835995824	9.65965504936	3.34711714443	7.3077273157	8.55807354684	5.79605768451	4.41774078108	163028.135622	True	
9.43009910885	1.03692093445	6.87802089392	4.16663794977	0.867457433942	1.74617970186	6.66201586699	4.72029627009	7.231963462	4.10509633948	0.496719085216	9.94938797131	5.55803466336	4.29657135269	236209.019388	True	
1.22040926988	5.31565251078	6.51013840125	2.29597909362	1.42957473844	6.41048869919	6.12376364934	8.28152625822	6.73148519871	6.25998099296	0.915747491699	5.69337000272	4.92513241916	3.76269168734	424499.831916	True	
1.97909864004	5.02756605517	6.69475427927	8.0656437425	7.86266772315	0.925188938526	5.72414361815	0.0335698003547	7.45111266425	5.18595129025	7.42164864149	4.79270380922	4.84922678255	5.60532233122	515640.008835	True	
