Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Potential	Temperature	Equilibruim
0.56879925708	1.34711738974	0.0763338459759	6.53762377042	3.64504394721	5.95225403332	3.67728932752	1.66837340555	2.2631781673	1.61563780461	17856.8472335	49843.7589248	True	
1.78566071291	0.16797510753	7.52708304572	2.18984402668	3.64902269185	8.15848120716	7.25015336743	-2.10360643957	2.87685105145	-0.571472227473	34579.0326367	47351.5709786	True	
2.33748054279	9.20549950174	3.67746467961	8.0981778424	3.94503815685	7.664021777	9.05198723104	-0.874648486166	2.284599705	2.07248741682	69265.8461032	44983.9924296	True	
0.389855272013	4.71545345751	5.70117654621	4.5853827008	6.18492339116	3.64843934537	0.643059838179	-2.76136392706	1.6783187433	3.28689757275	70755.5952773	42734.7928081	True	
1.39575885105	0.86618536898	3.55356440237	5.35858394336	2.7312541967	7.21363447955	1.99421125467	-1.03377830516	1.66687721163	3.2543422582	71300.0030708	40598.0531677	True	
1.76308244092	8.29870469099	3.38829768587	6.07736088299	1.89443572813	5.91265302405	1.69172068043	-1.22149395736	1.30390383559	3.8513631881	98320.9481688	38568.1505094	True	
2.51249664684	5.7152236863	5.80043795456	7.33164130599	1.16376734003	6.2900760205	4.46693760463	-1.70472250948	2.24872377619	-0.255083819481	52169.650993	36639.7429839	True	
1.86821647351	1.09558122205	1.98829539164	1.57658023843	1.01190046468	2.28939267532	4.84368210928	-1.24870096817	1.05077021798	0.451705944242	63099.602847	34807.7558347	True	
2.81281609708	8.17569411149	0.123549902877	2.49437084053	3.73906543974	6.73427273387	8.47172530518	-2.9681538185	1.28258553767	0.404842531814	32914.6673521	33067.368043	True	
1.58009033117	0.295781754367	1.27746126943	7.4194554559	1.167150135	9.49876515533	4.61909587405	-1.94230479834	2.1873977583	2.30539243596	32722.8055159	31413.9996408	True	
2.19357967585	5.56587868082	3.34804612309	4.72228070909	3.34022368117	6.10788842152	3.8364798063	-2.63807567565	1.56066460922	0.0849988305428	10978.7457301	29843.2996588	True	
1.84267203445	1.89902788389	0.65529676483	4.80192973339	4.7776320544	7.67470532964	4.07054529663	2.75575068072	4.08042989428	-0.778729938958	44005.3061842	28351.1346758	True	
