Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Potential	Temperature	Equilibruim
1.45780332229	-3.33165797686	-0.31135712227	0.526392887622	-2.07955520038	-1.70205246682	0.609381632808	-0.521135133075	-3.72474767935	-0.631931714846	-0.797543168062	-3.74511938333	-0.948593533741	-0.138966116875	-1.20891139951	0.412459026801	1.30192895627	0.443688159567	-1.04044011025	0.630412105838	-2.88514589522	1.68734976451	1.5455534698	-2.9856282918	-3.14138608166	-3.08009462062	-1.35739460945	1.19465254685	3.86620845984	-1.7919664017	31306.2561631	1659.64367588	True	
-1.17186668461	-0.0661866611235	-0.295707582857	0.531856791188	2.01684410021	1.76477054122	0.968818930646	0.963255089188	1.88363113376	0.757298727575	-1.18272371197	3.99867172913	-1.91967267997	-2.28884143524	-2.16863510511	0.0732014002562	0.271708892446	1.48287457966	-1.9348354142	-1.39868729856	-0.225874288833	3.58728080873	-1.35810403893	0.470565264167	-1.30044512584	-3.08017517415	1.04077317366	-0.225388900328	2.00844576776	-0.0683848709475	19963.1376357	1576.66149209	True	
-1.0408178269	-1.98520990587	0.254373247785	-3.91351268981	2.14763171655	0.136405573721	1.38570197486	1.60524413283	1.09950087679	2.37618831444	-1.27158377967	-0.893082590532	0.377792080035	-0.885659844114	0.989854137623	0.865083185192	3.14966761443	-1.03874972239	-0.901517343497	-1.18451757151	-0.76009508412	2.85986256127	1.01009820288	1.24176328567	-2.8609548179	-1.56339175247	2.12199518997	-2.97738564698	3.67304847219	0.333590643963	23700.6806543	1497.82841749	True	
-0.238026564044	-0.489351884987	-0.778304652995	0.877473591198	1.57388706538	1.50980751339	0.889622735716	-0.0901606681924	1.13343359538	-2.8047213819	-2.45641634147	1.98874633896	0.469185400134	-2.31546250641	-0.331452211226	-0.260789723327	0.646886136167	-1.19144242203	-2.45457392246	-1.24779952918	1.70415937871	-0.003205121278	-0.274665385889	-0.332455355655	0.806696755503	1.17393177511	-0.255733401361	0.807985131026	1.20685200793	0.196278082035	20890.136782	1422.93699661	False	
-1.95950646092	0.776809143718	-0.422036758196	-3.62839698704	2.20285764003	3.23208129136	-0.348084253654	0.38441144539	1.00762021066	-0.808863505997	-3.15663266588	-0.790755374931	1.10338595361	2.50518860127	-0.265278329971	0.474549346254	2.09865369133	-3.25422090834	-2.98878937294	-2.99963756756	-3.16589485329	2.42835343547	1.72179820989	1.04356661167	-2.14886894954	0.701002884401	1.30878833585	-1.1264305138	1.08307005609	1.1258691083	27713.8559852	1422.93699661	True	
0.177875243762	-2.8184428765	-0.397540345836	-3.6229859067	1.28335128091	-0.886698738381	1.41654704279	-2.90883375812	0.433217440774	-0.653506371293	-3.39154127758	1.93908041622	-0.328500413409	-0.535850982405	-1.57240229863	0.147710388532	0.89751093044	0.661628586418	-2.66739485477	-1.95547895387	-3.63494134259	2.79343257182	-1.50617038537	-0.536714356966	-1.68432963615	1.40056872304	-1.4311835933	0.354580776443	1.72257150014	1.58090508613	18936.0548759	1351.79014678	True	
-3.26972716739	-2.36594521895	0.968665657926	-2.14915586028	1.22446715493	-0.344791152156	-0.271914044508	2.1551810075	0.880985500803	2.13593485459	-1.0635385344	-1.17051197676	-3.05190028293	0.332048765832	0.383035487173	1.29238320062	0.108256889523	0.351639982301	-0.253948283257	-2.95295198991	-2.28926217418	2.8127559271	1.51568609003	-0.495253455002	-1.16056404158	-0.59120484881	0.413165551311	2.72776564723	1.65318398527	-0.701229346144	21359.4649335	1284.20063944	True	
-1.27884294965	-2.99030783073	-0.312260604151	2.47266714139	1.18813701925	1.16493783479	-0.305669951684	0.472574648114	0.0722557471562	1.48453209376	-0.779262440133	-2.88228811326	2.84550226999	-1.1232520619	0.00736892628652	-0.319274534699	2.1842662959	-0.0509076324163	1.38498964913	-2.12074660327	-0.75175611718	-0.357838703381	1.60250823322	0.218473614126	-0.476068872403	-2.32810892567	0.453830380567	-1.21718405727	1.82385784386	2.93424796219	25068.312745	1219.99060747	True	
-3.05895094385	-1.05161430397	-0.760457692051	0.910977144283	-1.28354087774	3.07874859032	0.681456391569	-2.53788488956	0.452426313282	-0.524621991322	-1.08144009959	-0.821084368967	0.440829726384	-0.853167998811	2.3208312027	1.0823056266	0.521323912958	-1.4877253385	-2.51511592708	-2.26531639931	-2.07816604986	2.30323246669	3.85273202442	0.276878597224	1.6405951166	-1.27362113756	0.16018748654	-0.172434789877	0.78562266017	0.969763476499	17212.6963717	1158.9910771	True	
-3.3639181976	-2.9520256451	0.748123527062	-1.1687984617	1.53083642804	2.27240989858	0.775325158905	0.78593142846	-0.304645631839	2.39215208818	-1.19507768349	0.74812511078	0.133103589928	-0.70563133247	-0.200477507736	0.281133126958	1.84602408842	0.406742329974	-2.14782283628	-0.870140386876	-2.76085939129	3.68242752045	1.0793536539	-0.857872412189	-0.62096785921	-2.23491223426	-0.626772282436	2.3911256129	3.50906411502	1.6427957478	15917.4392437	1101.04152324	False	
