Parameter 1	Parameter 2	Parameter 3	Potential	Equilibruim
-1.81037335597	-1.42778422983	2.27655949	26258.8264994	True	
1.04181147313	0.691807781541	1.65851077282	42090.9133049	True	
-1.41806427604	-1.69337071864	2.33941502414	24035.382397	True	
-1.74601785249	-1.75610794576	2.3225908698	24826.6456255	True	
2.9445097215	2.78306586938	1.97075797838	62753.174689	True	
2.96445108233	2.91790256971	1.79563189524	37845.9759034	False	
-2.58526787179	2.18777026148	2.25000792358	48890.1303015	True	
-1.83766747292	1.02005331776	1.58870676273	60492.6721169	True	
0.230821800304	0.28957931839	1.35572795962	92995.8189356	True	
2.12245677513	-1.79024035008	2.46815807114	28817.8918186	True	
-2.13230339537	-0.672616065601	2.00550755455	28617.0277789	True	
2.565656868	2.55788197937	1.63731295206	44070.127007	True	
2.08187684661	1.25631670905	1.63764801708	44052.029844	True	
-2.81379277543	1.35672683017	2.60557073442	87892.0630475	True	
2.6901345843	-1.63203523632	2.39774878149	37209.942773	True	
-2.72505440827	-0.881501428779	2.51024841685	72244.8981533	True	
2.97213082648	-0.356297282073	1.83994194545	38540.7474109	True	
-1.01639464257	-0.239078935862	1.6293211676	46712.3143412	False	
-0.894016558504	0.561773394901	1.74721323238	37092.6299017	True	
-0.701493725175	-1.7506520268	2.14341224688	24795.9586215	True	
-2.14444277	-1.91213783639	2.07818514837	63441.2666315	True	
-1.93110755084	-1.71121627142	2.3003862104	26078.0325907	True	
2.16835423414	-1.80520126534	2.3408497707	23550.0745291	True	
-2.3628805053	2.14667690328	2.26789922075	24076.0101806	True	
-0.854808428616	2.31840939462	1.76517370933	36805.2753491	True	
-0.540844973975	0.568302208303	1.77640210811	36957.4711846	True	
0.53031175851	-1.70334164092	1.99163709974	30152.0924344	True	
-0.16124007211	-1.88633774567	2.32716321568	25932.795281	True	
-2.44971600129	0.0399457463601	1.92942455303	55275.6669655	True	
-0.713519870025	-1.67923126152	2.13672928596	23936.5994948	True	
1.17548388944	0.920733297857	1.6459289083	43243.545128	True	
-2.28228977451	1.27953574806	2.20691012408	23479.9922263	True	
-2.17400077132	-1.23857247613	2.17037207922	25124.5576812	True	
-1.53817277309	-0.200707843813	1.68568081753	43137.7534705	True	
-1.70040865156	1.54992157148	2.0730700609	48826.5235648	True	
0.454601696429	-0.454636205108	1.75735876787	36729.0712188	True	
-1.83031871482	-1.48070589859	2.10707464822	24959.0150834	True	
-1.36799087412	1.78567615444	1.78602860686	35795.7800539	True	
