Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Potential	Temperature	Equilibruim
9.34555512623	7.818459713	6.5278126593	7.25459270621	4.23997731522	3.29937319545	1.83145484547	4.53232532921	-0.365380456957	-2.14123812247	0.924322211314	3.58905903305	0.100282848081	9.34014972529	3.66250426022	3.11320651349	4.61648316266	6.21384168972	4.26453871269	6.48860883907	0.595125424947	7.370443944	7.99236741348	9.35347193761	7.88046407767	9.15395676934	8.50055236412	8.40618694407	3.4432939664	8.72651730626	8.96554175089	9.08130716553	5.31500630504	2.60391020119	1.06968818478	103852.315457	82205.8197824	True	
0.952477121859	2.18793294686	0.43820013968	2.17418154032	4.97495476154	4.11253054951	1.47399451029	5.87297918631	6.12488078317	1.16124454582	1.11455802201	3.82354756788	-2.31222113825	2.86967972445	9.5494511137	8.35719852296	1.3260716562	7.89962848581	5.63830287113	8.73802252428	8.44489215517	7.62784142187	8.09034429854	4.97929289906	5.63832665358	1.26684084797	2.67417201726	9.61843027582	6.4559954449	6.22076645588	9.80815392267	1.16821400891	4.42458348764	2.85808591331	0.642821321935	16708.1931723	81383.7615846	True	
9.12121124884	4.69771861732	5.54593691894	6.89990549622	5.95573679688	3.38559943658	4.37907298406	0.372071217866	-0.063489622131	-2.75643733746	-2.80118828575	4.3123495081	2.61038205997	6.44983381254	4.63091868691	4.77660490776	0.9529344153	9.45450169246	1.92187789827	6.401242749	0.360823701648	2.01481451705	0.0230641403149	3.94736722946	0.722665184286	0.965209831195	0.00191741157034	9.20129591952	0.0711394482917	8.19795990795	7.26909104014	1.827582448	1.03210162259	2.43378589566	0.757649116963	134282.789003	80569.9239688	True	
7.46226444763	1.14289893704	5.01099451931	9.27582700452	8.52322332703	3.69696587837	6.06806533635	8.80354230564	2.63276127528	-2.00124880236	0.00444041142618	2.2107992501	-1.65868700738	6.84266900717	3.74130631018	9.00600504092	8.46257956725	3.71141731955	0.918135821863	7.96266587972	7.56397642116	9.75205660533	5.00053095549	3.90319639884	6.71729484627	8.9874951854	8.71198439795	4.34739439647	2.67701807002	6.18815027258	4.7933887777	0.485183645642	3.82705292547	2.57329618191	3.08914229633	196134.454828	79764.2247291	True	
5.3920396288	7.99510815736	6.95916183059	5.66163480637	4.16455290518	1.16251287956	3.67475177557	0.269638649488	-2.05071629883	4.29867021596	-0.299987084166	-1.32229143701	2.33367363918	4.15182055036	3.88356605658	5.93867540609	4.02420283206	8.12458389533	6.97501460145	1.98507591011	5.39619652772	0.462350756106	1.4436886895	9.49676218123	5.09609337467	2.31512294243	0.608544914727	5.56100263132	2.51683837651	4.67007509686	2.9119566474	0.597248538658	6.62549074108	2.97859552682	2.87911940573	5957.96093956	78966.5824818	True	
6.82914868635	3.75781293526	2.14488239951	4.17012480112	7.63436202181	0.611889469447	5.44934930612	7.52732072708	1.73694176422	3.39663513609	-2.29406037366	-0.0389609367491	4.38106916265	8.88557031371	0.581643268317	8.10213863913	1.91868540239	9.42202974625	0.740708214474	3.30653144794	4.03570845012	6.37409041735	5.00089074052	6.07267566128	5.72920874889	5.01608161718	6.19068365839	5.76456568922	5.31229649954	9.47865495161	5.14381795392	7.63295600918	5.05097903174	2.48967578715	2.45466812209	73868.9389847	78176.916657	True	
1.98594959331	4.36541327464	6.61403958975	6.64841516392	1.84879492456	7.6053619154	2.26564786842	7.09371118431	5.62924703147	6.89323204466	-0.624510208771	-2.60177696378	-0.1030259138	6.24546143158	6.39800203164	5.45205338225	0.267944212802	9.88851830957	8.79156703914	9.80588651619	3.89348640668	9.86343739925	1.42194742948	4.72911220529	0.360942473875	5.15607211311	4.78071230863	8.69152099978	2.50148226854	2.27487311117	5.65369177722	4.47291030584	5.50602168478	2.57214978743	0.392435768713	136590.888038	77395.1474904	True	
7.72298242274	7.18384249253	5.73279342234	6.2173858111	7.83126101866	4.52444293902	3.05947546178	0.715929714865	2.51584378387	6.58264770659	2.47333857912	-0.045330491305	-0.59399046524	5.3812357524	7.59511549404	6.43049428479	4.90586943154	9.11360717087	9.54052872195	1.97280579728	9.20099402817	7.29232949656	7.19258625241	9.43159082421	5.34390408924	3.08563158371	8.64552535501	5.95025127401	3.85825212295	5.39037144407	1.87917488777	9.19809528771	4.89881532355	2.44023447577	0.214687699804	142450.868754	76621.1960155	False	
1.93008975695	5.60023391598	1.78798732385	1.77199343751	2.78468637038	4.6322135653	1.4905280506	6.39437032799	1.21463686558	-1.44732784246	7.66847852618	-2.46036377654	1.14681435031	4.65118027159	2.60340915745	1.81120841113	5.88985414763	7.40009799191	1.46932199842	4.07402355377	5.0733893024	9.30529960493	3.27812049661	2.87979009444	5.51387239981	9.96914960182	1.2879142352	7.00904412199	5.58139721378	1.49916825156	3.53514565887	7.75668950226	5.19138775807	2.98412990836	0.318274291069	94566.8377292	76621.1960155	True	
10.8520536316	8.14988691258	0.994904160536	7.46656537875	6.75257146245	2.52491727264	5.62292343936	7.45302248738	6.82010590255	-1.39145380279	4.76020034392	1.69616442309	3.40599312586	5.78040860727	6.03905662512	6.21924753287	3.21807590333	8.04446375304	1.75000400943	8.72075337883	8.73352872818	5.1255672178	5.97864056662	1.44715320984	6.95552529955	6.34874504556	0.360953365943	1.05326897595	7.46322134815	5.78554370007	3.29145692578	9.27884663715	7.62861152362	2.77449642541	0.149036904674	250826.954112	75854.9840553	True	
