Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Potential	Temperature	Equilibruim
0.308379575448	5.11462236961	7.67981287335	1.81363643069	-1.10134473454	1.0691041431	-0.819043116622	-0.32496683446	35726.346189	9265.8246032	True	
1.05469659805	-0.444885849481	8.4634845872	5.26589115276	-1.35448332738	-0.938475105827	0.0484404653244	0.581507112597	17220.1517146	8802.53337304	True	
0.381551604638	-0.590014790369	-1.06829086027	6.97179927245	-1.70555910543	-0.530703770684	1.54524724432	0.42238249853	26457.0979667	8362.40670438	True	
2.02890325126	-3.62716438911	8.83476006873	3.78138649577	-2.67770539548	0.53176623696	0.950700897468	1.91630979711	18327.8055766	7944.28636916	True	
2.45294609178	4.80651777612	-3.88877779329	7.32760709017	-2.09832109541	-0.3922509807	-0.860740224599	1.69678044843	24140.2627594	7547.07205071	True	
1.14098301224	8.59130052817	8.26612417051	6.94363625104	-2.29857318073	-0.689785233263	-0.730562030626	0.926866345984	12178.7474795	7169.71844817	True	
2.91039951311	7.46189352156	4.98678506458	0.384711837104	-2.13191355331	1.66915978259	1.89145573091	-0.754047973671	26373.8801405	6811.23252576	True	
1.73163098236	6.86394182906	-0.140826171328	2.62251570166	-1.1628952869	-0.210769067941	-0.5868286614	1.16174637261	26808.9962675	6470.67089947	True	
0.832806542908	4.22757409932	9.68728447486	6.37193230532	-2.46455663333	-0.618671054185	0.0466356352848	0.271642246138	3705.24662389	6147.1373545	True	
1.82005281305	2.36356434659	1.58952791606	1.35976521018	-1.63402809254	-1.00287217542	0.756829670468	2.73788531502	15743.9841981	5839.78048678	False	
2.24896337727	1.23394577185	6.94018995925	4.32968339533	-2.48873776666	-0.514735548854	0.178636470448	2.5880360049	10921.6279495	5839.78048678	False	
1.56431242308	-0.401175054999	4.74052776444	7.63934210997	-1.41854501778	-0.619198004527	1.69767125611	0.700533147448	22980.9515569	5839.78048678	True	
0.324165625586	-1.69448792004	6.51697253854	3.80834425619	-2.08646806305	-0.412788965307	0.144935412599	1.38815982061	5170.88954954	5547.79146244	True	
1.95115000616	6.92064647014	4.25845309337	2.12044084948	-2.43882230492	0.0155689292335	-0.675835871588	1.20168597645	15408.8130627	5270.40188931	True	
0.639831668121	5.18765501351	5.86539169723	5.62379141423	-2.67034569443	-0.0143346160595	-0.188331765847	-0.465521340627	6832.43973184	5006.88179485	True	
0.303021823646	5.7160102702	8.78965076024	8.24125453978	-2.37773967298	-0.387110311827	-0.449319936117	-0.641208649012	11243.5438522	4756.53770511	True	
2.70260861358	4.23689758998	6.38622055613	5.95375503082	-1.34658283113	-0.610529220456	-0.81566420708	1.1937258127	15170.4046219	4518.71081985	True	
0.59311322717	1.51070117552	-0.909522245852	5.77708827775	-2.5805785275	-0.635961849966	0.287034849136	1.29781615692	8726.9019519	4292.77527886	True	
0.900900187211	-1.53154591462	4.56698818854	3.82374044945	-1.93096802535	2.89465069318	0.420947387177	-0.886536009716	15023.5326255	4078.13651492	True	
2.89041893886	7.93602692469	8.21767267942	6.46384891178	-2.50594016167	-0.364160923446	-0.918863712596	1.45294144229	11851.8051759	3874.22968917	False	
2.52523044715	3.17103244097	5.47941334547	4.7664204497	-2.78083672336	-0.348278988195	-0.53118203605	3.24129545106	9312.53697587	3874.22968917	False	
2.63093689381	5.82125034848	8.48832473994	8.80448500248	-2.45302721231	0.397850280662	-0.574356747677	-0.0260440107076	10161.5790404	3874.22968917	True	
