Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Potential	Temperature	Equilibruim
-7.26974702436	5.50825715677	3.70716419315	-3.12907579686	5.87571765088	2.39319299785	3.47940198725	-6.48974272897	6.53794386523	3.33344259208	3.30266617293	4.74492076693	7.25261961094	2.9910562087	0.548899393049	4.20758248882	3.84004629913	4.40149636048	1.01498609349	9.47285664762	9.1551831728	1.83924129199	4.32908249981	9.70673780182	3.11284056523	4.8660805567	8.03357810072	3.83723122504	3.41796531441	3554.25531491	911.798526339	True	
-4.71868636097	9.99142349234	-3.37233994416	-4.22559557744	6.66204020615	-0.495120642421	2.14644728682	8.03280865879	6.96189962067	8.28765870249	7.61252422369	2.31947220064	2.00440602336	3.52943401111	5.030411028	9.01234281378	4.65672334646	1.98156917329	7.29160186296	4.56544669027	4.17168715615	5.11454005083	5.94732751899	9.67524926668	5.65329977135	2.3395567423	9.74697796956	2.05236976977	0.280080181723	3521.97176325	902.680541076	True	
-0.918021145092	0.971276550079	9.91331792199	-3.97384713797	-3.34559272359	2.96409983822	0.429799806551	8.46842192838	7.15555559552	5.03165556033	5.61056164535	5.52743644243	4.4635607288	5.849920615	7.42710933293	5.010846101	8.42762403472	8.50361980369	9.475342808	6.66745940617	1.85432212571	3.78213408274	8.25582968459	6.69146167821	1.65921005731	5.01038429585	2.45881770935	8.38284027939	0.48748861746	1398.47278988	893.653735665	True	
5.30792876516	5.00221883692	6.92790282922	-6.23919557475	1.52205465041	7.42906706555	-7.123730794	4.76141810589	4.64526852707	1.83121792011	9.08869922051	0.237790836317	0.205111398459	6.85643183369	3.000152473	5.25084009432	9.69738122319	8.72143238497	4.77226458105	5.29963466867	0.745997798394	6.19091702456	1.51313018889	6.80213938191	9.05106429127	7.11500152987	6.0720105752	2.03192584511	1.84954377697	2824.04194888	884.717198309	True	
7.32658066032	-4.12617661294	8.4842139679	-7.40124967561	7.97800464753	-5.23690931674	5.40488993874	-6.86686217195	1.15420340529	3.67588157682	7.59736061809	4.59270234908	5.32767012887	7.52248854796	5.60981487484	5.53880966298	1.69836269954	6.27838867815	9.69246578152	8.79008365711	5.60310470497	1.70052962834	0.792830335703	6.27447390492	0.226357786197	9.97036708692	0.466962576987	2.55540406169	3.11655245445	3193.55587967	875.870026326	True	
-5.02923642367	3.2852462743	5.022443767	-2.45846866161	-0.172781088155	4.11841068035	8.6867176583	-2.20709520856	4.43902848166	4.29126280848	1.68548352498	4.11907280008	2.52561742016	8.67902547458	8.1242377791	6.12126997991	6.74162076772	7.40921039251	2.50169443575	4.82064055874	2.83777214278	7.17749406608	1.73555805648	3.79403414865	9.33849760838	4.27229158577	8.52568158048	1.83522085571	0.545149730278	2228.43653489	867.111326062	True	
-4.87166302459	5.09296287408	-0.910046303611	1.32134309278	2.03678308925	-3.90126490501	4.37831123535	-6.55054161944	1.24045819818	4.18926167586	4.77412442361	3.55135766887	4.1022051521	5.217081577	1.1347635436	7.59164391044	8.07857762043	5.67440622312	5.86551217553	7.13659872487	8.9589091005	6.63172223314	4.96668048371	5.10353857437	1.1319185969	2.44561260957	2.68737463688	3.99847163499	2.81151301058	2615.69694907	858.440212802	True	
-1.23859185763	2.59964218527	2.4937938449	-4.61285373374	7.42675408952	-6.76687612445	9.63440440561	4.11468150074	2.85083465162	2.76899858242	9.14186621288	6.86300147845	7.63273184958	7.82287307792	8.9207990078	8.65548286492	7.44437178153	7.70187722072	9.27499134676	6.0494319037	6.36945878086	4.15894530233	6.1687672455	5.27378435735	2.34009737544	0.510885784498	0.89187358694	3.76690986727	0.338108137228	2043.90000065	849.855810674	True	
7.00129811104	-3.3635347167	-3.26466259644	-0.312984910906	4.09227238964	9.36998297688	-2.21641711574	4.54568205715	7.86236207876	6.04582901731	1.11607702657	8.21438338738	9.49568605746	3.11129394997	1.09896889927	5.11011735073	0.233147855832	0.4682457203	5.69775003067	3.90262565312	9.72377937705	3.89407508367	1.01728215887	4.30915067238	7.49871307458	7.89123868886	1.96529370942	3.1187278431	3.85082357663	2728.81651959	841.357252567	True	
-2.4188072575	-0.180650133131	-1.60557985305	-0.870645483137	7.90762336905	5.46714211989	0.123623757778	6.78782273652	9.28039380684	4.28121061437	6.03897990438	2.40819028106	1.01474559299	8.1840547739	7.12928831042	3.17608987518	5.89415908244	4.72101165983	8.00512701263	1.684689017	7.65795171732	0.169485842318	8.19211763935	1.28973950975	9.41774319289	4.10130982231	4.18867973703	2.15318327793	0.154781751962	3191.25091613	832.943680041	False	
