Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Potential	Temperature	Equilibruim
4.08529992337	-2.93682740037	-1.45471361427	0.453649281576	-0.56717157456	9.36825347804	-6.02391827816	1.65527650831	-0.453570877237	5.81792092595	-1.98267242105	8.24244556565	6.59746270824	4.57038506414	3.83294891484	2.68817193514	9.31295356874	2.06979952454	3.71187584317	3.01324655883	7.69297183935	1.98808172282	4.36103865822	5.93879085034	5.86252134879	2.45088766933	8.11018883781	9.21714527301	7.7819611427	6.51127587516	7.30879794247	3.80495243617	0.928738488721	4642.62630091	1679.81653099	True	
1.33209510643	-3.4567532187	5.39615817728	7.68718912325	1.80947273743	-3.71164912097	-2.16379396168	8.29689730702	3.56131087202	9.46149772655	4.75250583631	2.38143493681	1.7052676924	4.59928900158	4.83630072036	7.75350354717	5.44198659225	6.72625524515	4.42234565098	0.544174410052	6.24297068216	7.21219673138	7.61338950086	4.35854117669	5.9583985606	4.44159835949	0.466908206776	4.68897929858	3.83132376322	2.62262970525	8.25750016149	4.17408524997	1.87226635248	5589.25752436	1595.82570444	True	
0.79805991234	-1.50245913105	1.52759590653	2.99181017092	-5.55233282405	3.81373304632	6.02048739628	-2.16115005903	-3.33526241093	6.5758242504	-4.02861622175	-3.30177848434	5.63746162797	3.06504199971	6.31420699571	8.43406495596	4.36114025381	9.27269410911	5.71159641078	4.85831499508	9.44094802282	3.23108332495	8.13366524911	2.88753646501	0.749948953217	5.16580127135	0.706021748648	1.52234370096	6.37425659717	9.90934158746	0.993744932069	3.07206539173	2.9998116529	6940.32212052	1516.03441922	True	
3.25680198536	2.82467735626	-4.28717219635	-0.624376479934	7.59537321531	9.91812972779	6.03855410249	9.91870966834	0.00102470682829	6.0863882612	-4.49112137028	-1.74350970667	3.88393539742	0.188458659744	7.53812017356	7.39664951027	4.49759035253	9.31257955814	3.35001368259	4.96852050447	7.85600416338	8.45514510044	6.54187938544	1.40165462215	8.04101847601	7.88313201435	2.71320720486	4.73378304037	1.14922144474	2.08000374784	3.08991824908	7.69263353423	2.31823938991	7100.67020794	1440.23269825	True	
8.70785580524	7.60814223973	-1.42716478293	4.43537506387	-6.89107429103	2.47903487748	-2.7204933367	4.59278921638	-0.214772466244	2.86287055874	3.77191126074	8.40064424377	5.49170354866	3.05062427795	9.46127127413	9.62993964418	4.32533179507	3.54205138261	5.31609832473	1.50175846983	0.422348469686	0.599728170056	9.26290519855	8.89269418255	1.79699766527	9.59703707667	9.07447933945	4.09097789195	2.3410887589	6.06230091965	0.488367726524	5.55668699401	2.81395761297	6940.84257255	1368.22106334	False	
-1.48950866922	8.14073097009	1.10582120346	5.87423030438	-1.09971517064	4.52918788113	7.78675882458	4.72576319866	6.32850132986	-2.08245099595	-2.01329121107	6.65420018406	0.72154675304	2.59398784083	2.43619487442	3.3203349237	1.60586015622	6.4493602603	4.2424301603	3.77123740069	0.620578948293	7.11577212012	2.50795971319	7.10192475118	6.88461864947	9.97378493201	8.87807923815	6.09517244672	1.24111173361	6.01882616612	0.959580429381	3.96007512878	1.82143901964	11681.5003935	1368.22106334	True	
3.15054860211	9.29010798577	-2.54568443455	-4.30658709875	1.23259452668	6.23245138374	8.37730210209	1.67006431228	7.7998708177	7.25320799643	6.04864832775	-6.94711510606	5.22250389918	7.66718569586	7.20159310606	7.12612347835	6.01136997039	7.0944331204	3.10203929051	5.56792981969	6.85088755749	2.15517278539	5.0161585537	5.74494008555	3.98353866021	6.64685487131	4.08516351899	8.03734058033	4.27659820268	2.80637492305	4.63125182586	1.25966190696	2.83906140719	6986.84782007	1299.81001017	True	
1.65875555299	-2.87516821368	7.2943311836	-1.41162613378	8.17863110984	-1.69030472046	3.56498019262	-0.41028023578	-3.67850160115	4.33760656448	3.841416468	6.28569419261	5.73268897318	8.3798739482	9.32813246838	2.38064699049	8.15234050407	3.60749553849	9.24550813437	3.60507059389	9.35047308668	6.67468392699	5.64487837789	4.16107063461	0.441740735811	4.30748827392	7.59555597214	2.07897370424	2.46833917402	1.86701234001	3.6975508069	5.915451923	1.20452727367	9614.41432389	1234.81950967	True	
2.3079465368	-3.09225522237	-1.17276737156	6.97635025438	4.07658407151	5.08828431361	4.08380408637	4.98316711354	-6.40817730306	4.17904319788	4.14817447125	-2.40018606464	6.13532776813	3.15810865295	0.392465528839	6.43067975073	6.27164684757	6.79142432001	0.592983465443	5.23066884924	2.89080993662	4.0473586825	9.8471927878	0.345627132612	5.07574840589	3.49148116757	5.00123206346	2.94794703739	7.53707296401	3.44882378177	3.25841757559	7.10892195721	3.09980285174	6633.37959057	1173.07853418	False	
1.10738351718	9.11554649287	-5.42058792317	6.26794584924	0.503084880312	2.29104122881	9.88321606565	-0.75516327469	-0.473610538246	-3.2042565926	4.55914602729	-4.5458745653	0.751206342096	5.17065310673	6.15774519334	7.48123233497	7.64840065561	8.29812879045	5.30387115718	1.46683789963	8.98672525989	4.81352078415	0.060146124731	6.16744289142	1.85655492812	6.01444366163	4.82750731887	5.3543853081	1.15884991122	3.67711398364	6.7139854548	0.187951187565	2.18934060865	6922.38234146	1173.07853418	True	
