Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Potential	Temperature	Equilibruim
6.86547006041	7.20432040864	6.09239178247	4.89650340226	7.49832502442	8.07577408264	6.3685663685	4.18891015732	6.72550504805	5.12897910609	6.80461791463	7.87921215143	25034.4919257	693.533218062	True	
6.91612769642	8.13085393798	7.35901326872	6.98336308944	7.35209055096	8.27642000783	6.37564828965	3.33431180308	6.53425244519	5.96215392111	6.45290890485	8.21647905463	23888.0580828	686.597885882	True	
7.39277320559	7.78682129245	7.29942766407	8.82723990802	7.44837149924	7.44270385316	6.69942724955	3.85650389042	7.20165635509	3.40741771485	6.74614705043	7.55474845406	26754.063305	679.731907023	True	
6.11608688081	8.16829932111	6.77045879016	7.42949586454	2.52613440105	7.18134867204	5.50122134525	4.38843141118	8.04616556759	4.48868038972	5.91543576771	8.12867502163	28322.6008242	672.934587953	True	
6.36553733572	7.48911262674	7.01061768221	9.65754822695	7.26017700763	9.36803223521	6.77792364117	4.44339164186	6.39612422865	5.15270526669	6.31843327617	7.28090499857	26990.3783896	666.205242073	True	
6.72892453977	7.37738025036	6.75643762367	4.38539852875	5.37952048858	7.95939568016	6.36882322894	3.92974254301	6.53674104232	6.04329755975	6.16138008251	6.2905773295	24953.9515309	659.543189652	True	
6.7063563637	8.51286767711	7.16462684084	0.384688855482	6.50577509871	5.8709569494	6.58182319109	3.85629304041	6.79306668606	5.17958144894	4.9427698894	7.62271574638	26776.0724178	652.947757756	True	
7.35605055636	7.54063493265	6.85194345264	7.7072997691	7.48918795339	6.94126890106	6.49821452365	2.68726144781	7.26916739399	5.47627684964	5.85055808259	7.13057029119	23926.1344998	646.418280178	True	
6.26144204231	7.88578876605	6.37430581264	7.11647892224	7.56785915807	7.24762117116	6.40524870008	3.67319158706	6.39367257881	4.14853038888	5.30588219299	7.07875997425	24621.4170105	639.954097376	True	
5.87455382977	7.45780215424	6.38223280528	5.42642359887	7.12727281723	7.78212737588	5.60030360705	3.40337341017	7.38579162843	4.87321520695	6.16987902057	7.49556199016	24798.9392133	633.554556403	False	
6.93352199558	7.74480747432	7.38514063262	4.52577185584	0.97866186089	4.88243832404	6.28146342495	2.7080087688	6.70018941975	4.43643631263	7.5132303718	6.9708782232	28261.6661553	633.554556403	True	
6.35775902127	7.61601673501	7.0831161146	6.43842952973	7.54137063076	6.84652024435	7.19303406484	2.76914667478	6.67044377968	4.24915615384	6.66821449805	7.2403452971	24562.9651003	627.219010839	True	
6.43294637323	7.96040916918	6.67907273438	4.83385503629	5.03106776442	6.99112303237	6.87160210559	3.79910423657	6.86105858275	4.90661312773	7.1703129879	7.75325353332	24357.3833559	620.94682073	True	
6.07065126217	7.6828153684	7.57624411183	7.80915274527	7.63492333409	6.63966407645	5.70728856425	3.87388576897	6.43585989964	4.98734955273	5.61044737999	7.53304808415	25222.3089634	614.737352523	True	
7.48683023495	7.33643159955	7.18738806926	2.52208812872	7.31574447488	6.80839090849	7.111863589	4.95786977817	6.63231649949	5.78734505196	5.64865625234	7.60740936733	28034.1702738	608.589978998	True	
7.1831722442	7.91071527145	7.12090225309	8.7520264898	5.00415422928	8.15314414111	6.41639608767	3.61257957883	7.08682081807	5.05157501565	6.664612191	7.45307957425	23860.5033284	602.504079208	True	
6.97803809004	7.70597809199	6.87897857427	7.84809082297	6.72484180444	8.26817698903	6.3361666597	3.33242218374	7.01200863734	5.36257088787	6.12822946368	7.08696827357	22350.4421832	596.479038416	True	
6.38484447188	7.91563457536	7.29691910887	7.4248197643	6.47187058216	8.41879222344	6.07365029877	2.92330760601	5.97353389917	5.51431512392	5.91905676103	7.11142369784	23749.9528411	590.514248031	True	
6.18963276487	7.84274960789	6.6750331119	7.63023400589	1.63351265572	7.17716897804	6.53500083879	3.90713947801	6.6608446744	5.69769488337	7.26706193223	8.18569558804	26229.1863271	584.609105551	True	
7.06557750794	6.7626913406	7.22042757124	5.35983839673	8.16369114465	7.81678891356	5.85012766483	3.22988036813	7.61026567608	4.91694586279	5.78370816943	8.36925221009	27409.0906675	578.763014496	True	
6.87036710378	7.35976977173	6.72847117156	4.06616759671	9.25772226444	7.48913176552	6.10603145441	3.27852178497	6.62464161711	5.45634011367	6.20780574228	7.76544212237	25345.3959698	572.975384351	True	
6.75617245864	7.71509057015	7.16144535699	6.87553743751	4.15371399071	6.45491817357	6.3147186634	2.92944386538	7.75467263801	5.97635535193	6.51736166258	7.90407375218	24865.133696	567.245630507	True	
6.89778269183	8.04529890194	6.39835547823	7.90012614407	2.87228943059	7.51689648492	6.78917765713	4.54033251853	7.06679574812	3.6139100171	5.50172338789	7.72546266168	26874.8885976	561.573174202	True	
7.03485512989	7.17253427443	6.6551986909	6.73496553265	3.83759444545	7.61305051443	5.3568164314	3.28141285144	6.82837678925	5.47681289696	5.22020895249	7.8917812345	25628.0265878	555.95744246	True	
5.82161530467	7.50511811592	6.52208362915	8.00842295782	5.3351636224	7.61432912331	6.38716067557	3.24054598176	6.34554267002	6.32571357751	5.64443784346	6.89179530665	26052.3686276	550.397868035	True	
6.60988840121	7.7866058456	7.20043919549	4.84360637466	4.79123430514	8.12990435238	5.60821523389	4.25437390756	7.25899549351	4.59775395934	5.84573087557	7.25469412297	24118.4208284	544.893889355	True	
6.28172417866	7.72526732335	7.05362695037	4.39932790938	6.16675684811	7.86736734215	6.84374713533	2.92218170472	6.39904333808	4.5977635538	5.70740344647	7.10807831574	23852.8418769	539.444950462	True	
