Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Potential	Temperature	Equilibruim
4.0696681568	2.61387844491	6.86160778896	1.72753971094	-2.56231220445	2.41877129714	1.4160090866	6978.82407725	3321.66767975	True	
3.03387556861	0.259894002759	5.18142788551	1.28541519411	-2.63579784246	1.63960306698	2.87713099375	7317.98179978	3155.58429576	True	
3.8354290229	2.43313245519	7.33390217331	3.56855802827	-2.44799227921	2.19055874658	2.20961149341	5699.55687908	2997.80508098	True	
5.3453982731	0.572509997191	6.34347305907	4.96941972727	-2.46372091326	2.49112546547	1.7525650648	1694.69429889	2847.91482693	True	
3.71006308891	1.6296164656	6.36467178388	2.20951883891	-2.2388080439	2.15065752399	1.18385945475	8559.53157389	2705.51908558	True	
4.61215080921	0.695265981896	6.17968657113	8.11412126838	-2.63454421893	2.21376199486	2.56361918872	6874.1741352	2570.2431313	True	
4.04783030004	0.598582643362	6.24576477688	8.90355434894	-2.57695323572	2.03642259684	0.611219257248	6215.55136936	2441.73097474	False	
5.87168738381	3.4898318255	5.83902416596	7.07802756208	-2.37116062803	2.87970404306	1.97853224673	2409.77436952	2441.73097474	False	
5.75960458878	2.45040084504	4.99347443076	2.1363284876	-2.46961026214	2.84584016835	3.50015298916	7757.88038756	2441.73097474	True	
2.32221045554	4.52074464075	6.58544552545	4.59447668576	-2.50227266858	2.92522645332	3.87721014985	5678.27886756	2319.644426	True	
3.57256200084	1.15610542149	5.56832013123	3.67920730019	-2.38075076446	1.82242814847	3.00646243286	3352.04525548	2203.6622047	True	
4.26162762318	0.763505850788	5.68464445032	6.29843436827	-2.48350683781	2.03025680763	3.17796990837	2763.73288824	2093.47909447	True	
5.41702920769	1.38308900338	7.54350318491	5.21679646355	-2.45201446271	2.49830348433	3.01815366396	5010.39511998	1988.80513974	False	
6.28919815825	1.13890520938	6.74392369024	6.46595231094	-2.64860466686	2.96379522018	3.45247959227	7907.23054941	1988.80513974	True	
3.6243322829	1.348845393	6.52971109693	4.11567561504	-2.41021235436	2.0818115988	-0.344607428583	2220.61774727	1889.36488275	True	
3.25222819986	1.15953605123	5.66476848265	5.52997034574	-2.50679574805	2.20954369013	-0.624942783538	5641.26451877	1794.89663862	True	
3.85950348183	1.08987460302	8.35431162913	0.362494439539	-2.50560819494	2.52673656213	-0.534930926025	6239.3937263	1705.15180669	True	
5.99329097975	0.453773623097	5.3229155932	4.21432822094	-2.46233743142	2.73902502595	-0.123581467118	3952.47625688	1619.89421635	False	
5.88501865662	3.01430038773	6.22499572452	5.53971223183	-2.47230153221	2.90101512784	0.0206389021213	2028.38270539	1619.89421635	True	
5.49885724793	0.955058024445	7.06848364523	6.93966827755	-2.51810796382	2.91188092518	-0.526312195679	3116.91662823	1538.89950553	True	
4.20907504135	0.118107288742	7.00246891989	6.55491612285	-2.6810081536	2.24960779023	1.15806232285	14136.3424603	1461.95453026	True	
1.82115702383	1.10077107346	6.28466305531	7.64742131599	-2.38342428926	1.64717644033	2.73262688452	5495.27857381	1388.85680374	True	
3.15070335947	1.98604789968	5.98657153189	3.07980453724	-2.28032791466	1.9907069573	0.276004658003	5767.294818	1319.41396356	True	
1.78194262241	1.64774295908	7.50068506191	2.27966122135	-2.44043244685	1.97030897783	-0.124786495351	5385.75011593	1253.44326538	True	
5.17652485039	0.218277937985	6.60819906574	6.31686376434	-2.38994566592	2.44694907781	-0.323729143271	3021.90383954	1190.77110211	False	
5.86563992576	1.77962942409	6.45183677476	7.70130420296	-2.32505765075	2.67438369611	2.28013929595	3014.28909959	1190.77110211	True	
4.4895731474	2.8837494444	6.00883240266	7.43855183102	-2.30563440926	2.5264048814	2.23718414362	5812.29198587	1131.23254701	False	
5.32948241298	3.2325830346	6.83419111657	6.45127772384	-2.34888451277	2.7168070071	1.6641106783	4208.79023228	1131.23254701	True	
4.64941217769	2.7545045826	6.33010240451	7.2792675764	-2.3576223145	2.48096297864	2.80011799945	3615.0723193	1074.67091965	True	
