Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Potential	Equilibruim
3.09814834714	-2.72544306521	-1.02941955921	7.28094212684	-0.269028137973	4.25395367477	0.447108292114	3.8382324811	61.0780780468	12.3418468523	52.0788540523	3916.7005677	False	
0.416769531024	-2.67067022122	-0.58374853627	3.59656668358	1.54492031626	7.59022611519	0.648609861475	6.52823250461	68.3201580108	8.39668180665	33.2808007416	2123.23645936	False	
2.5481256565	-0.518069031827	-0.488188449705	0.887009180807	-0.623580291658	7.61660870002	-1.69213595641	9.86254272677	76.6730171771	11.5370305822	30.2040999191	4207.64025101	True	
0.416343201952	-6.07611390395	-0.324653877964	0.657376601253	1.1364597276	3.82207794472	-1.03782528572	2.20912238457	73.0499206437	11.1986940995	22.5994707407	1926.83929297	False	
0.429513048486	-8.77567784574	0.144172265876	8.70446080916	0.932261787632	9.27870809795	0.402893179482	3.78421099269	70.616364052	6.97102883549	17.4956896488	4016.74708824	True	
0.344117539004	-9.12173421755	0.739904126006	2.6369806458	-1.57131342826	3.47980258898	-1.6002156791	8.40189112453	69.9644846021	9.74508186092	10.1617222336	2250.40591909	True	
2.01491131659	-9.91319038016	0.785036861117	1.68735977079	-0.750518434577	5.9476764935	-0.92406405781	1.45316424898	77.627805694	5.78615408913	14.961839353	2898.94177081	False	
0.07456380945	-0.742973252805	-1.52460085609	4.69401697152	-1.17546507591	3.31310076512	0.673944152522	4.54078235047	78.0791099552	3.56511647063	21.9261999753	4769.50549485	True	
1.06018875659	-0.893739659814	-1.0403698733	9.6126380096	-0.422310448045	5.95404039986	-0.515742742316	1.71258940968	76.1061576352	1.29760075835	21.6514709652	1889.74003825	False	
1.41838664714	-4.16564313667	-0.325293931017	8.44146452033	-0.351169566151	6.38425391129	0.158974888903	1.11594100303	79.947382454	4.08366724453	23.6899840401	1978.24616931	False	
0.165353188454	-6.81957083719	-0.336289673611	8.74467508049	-0.267421947532	9.85072033729	-1.59476042769	4.10384760195	83.0002045315	1.44061543547	27.7880240313	2001.45362665	False	
8.44383544984	-5.58345586485	-0.535270320241	6.10962724695	-0.239342997639	6.68701166782	-1.83941979254	1.30329484045	82.5008811298	10.8862825453	18.7438461756	3448.3271636	True	
5.84322685391	-8.01743173238	0.599911581023	5.13452844457	0.269299599047	1.75893775749	0.870531461455	9.11258819631	82.5875102956	3.84678029547	14.8063583774	5175.53022544	True	
1.31847819232	-4.24055975211	0.317388226864	2.99151859785	-1.91581204023	1.88964534976	0.00213926074765	2.93063568093	81.0964093619	0.0722008484695	12.1070141745	2983.48589347	True	
1.73423802896	-3.79078842344	0.580615508217	0.964235939594	-1.75303167287	0.520155057866	-0.506014327203	4.17962469972	81.5376862941	1.79937195253	10.6289461933	2049.59909598	False	
1.76360454095	-4.53887480211	0.65411366175	0.591158773532	-1.7803082067	3.32075633472	0.403170910204	4.45504010933	80.3438951429	0.968851766783	10.9079014902	2231.7510447	False	
1.26098510017	-4.46112804492	0.454695895528	2.41612483231	-1.52797617222	3.30252200717	1.69208172005	3.7563926622	80.8005939906	0.191511148824	13.3065019072	1983.41931993	False	
3.09032204104	-1.35785180436	0.0888987596605	4.05563582962	-0.791871164847	3.12614520328	1.93798241778	2.14095955301	80.4938184527	3.07640776037	13.3898443433	2042.78037009	False	
3.63523411549	-0.263899275099	0.0212543134965	4.36279038863	-1.57194983633	0.0506023043269	0.475018423123	1.77418663715	80.3641047545	3.04461847659	15.6912291978	1857.23538124	False	
2.62826089328	-2.70427341764	0.287405472797	2.63390380103	-1.96732913235	3.4726030346	0.496082577646	1.34943870584	79.9333952181	3.07610523317	17.9555437164	3707.16089824	False	
2.40786600072	-3.71374177705	0.399974088212	3.05183075706	-1.2721503479	2.50630233632	1.58947466408	1.29597488314	79.4009443441	3.32946959536	18.61641894	1689.15899788	False	
2.62087010165	-3.17946105807	0.297493447331	3.77064233447	-1.51775700653	3.54569513777	1.22710894593	2.41197875297	79.0375011217	4.0668508893	18.0497833109	2247.90648842	False	
0.994829332597	-3.22626129286	-0.211891450061	6.1274231709	-1.29912085082	0.0540948920814	1.6538775049	1.2400653428	76.1800226899	6.67478305485	19.2511173367	1815.8171962	False	
1.00989011201	-1.5390106544	-1.61235889497	3.82748821074	-1.74925385063	1.21501179975	0.367246536493	2.98024059957	76.0457110805	9.38709556691	16.684809297	4440.605286	False	
1.41379627321	-2.12505476441	-0.766605122475	4.64295246914	-1.7746996802	5.4067120862	1.35471847745	3.556375987	74.0653494669	10.6543616095	16.2954168868	3352.04667183	True	
1.6504333799	-1.20297570408	-1.00154119796	5.89291126098	0.682454117266	4.0963413234	0.874765273546	2.98128873816	71.5945709304	9.97810710847	14.5537972341	3410.79815244	False	
2.54477663213	-3.19527159226	-0.797910294506	6.19373325424	-0.0848225010356	4.59887940415	1.48369106694	1.43578607429	72.4259490949	8.64404996324	14.9961449952	3191.78950444	False	
3.90667987733	-2.2247275482	-1.61887232624	6.77359848015	-0.0480945204813	1.39742241668	1.20218850582	0.363176694039	75.3423872092	11.8026330775	9.74638859728	4332.87406971	True	
1.67652574006	-2.20206605682	0.330565073073	8.29269751611	-1.61441388975	1.05791118336	0.479596459909	1.31956201909	74.3404680504	9.26979506306	10.6751710363	5394.95405645	False	
1.68472391278	-1.80879104148	-0.726919954308	9.9697179214	-0.491553101609	2.33184254701	-0.357377363289	0.781304811275	74.6148226027	5.95252741567	8.71517016537	2759.16773219	False	
0.0756779256502	-3.00304740253	-0.671241144935	7.06914395453	-0.529417235564	1.5847537856	-0.7383059823	1.95438826794	77.020416197	4.23732361644	9.86785733669	2936.3499091	True	
1.7144572295	-4.22663919423	-0.100023042111	5.63714918462	-1.31846382453	2.59981532493	0.255914353744	1.18198265072	78.7921932169	2.74572739115	10.3338039263	2449.12167888	True	
1.77191358946	-3.52879685875	0.501286541215	1.48758349138	-1.96585060317	0.263285796162	-0.54353720264	2.22733285483	76.7020039321	0.252325339993	10.144535241	2275.30382662	False	
0.588372410909	-5.58397368878	0.38209852527	3.06461493245	-1.37091463396	2.65283172243	0.616651030519	1.17336480045	78.5708486341	0.401629832561	10.2717224623	1993.98053845	False	
2.08923216671	-6.19905320387	0.509371095835	1.28984075889	-0.821818250182	1.77455072747	0.974039261219	1.19911152112	77.9128844482	4.31768085218	8.36828971616	2910.36144477	False	
0.780999546396	-6.25524469324	0.576834450844	0.493683901763	-1.68172135575	0.467944594768	-1.75908694254	0.446819345207	77.6039039326	3.68406058879	7.412026846	2301.87748552	False	
0.318397073249	-6.77170828607	0.578643684659	1.09969350562	-1.87431168843	0.191573762714	0.315827067764	1.59429411059	78.3397803872	3.6239972714	7.70222694403	2106.85553179	False	
0.958038364047	-7.86387474929	0.694063977038	0.698396785606	-1.55391701663	0.0460650513725	0.760413056323	1.19874547006	77.5816930121	6.57426123547	7.28155097497	3018.91175985	False	
3.67492642975	-9.89509379388	0.770011983423	1.13946663935	-1.04199639115	1.65205701955	-1.06497210026	0.534901415606	78.5179698402	5.79164752637	7.70163904614	3402.23239667	True	
1.17223687278	-9.49334776268	1.05835826972	1.33867918167	-1.84745464927	1.14150630628	-0.279513100128	0.684862555436	81.0468166263	6.09531405176	8.17690828674	3552.06879884	True	
0.36797142148	-7.45938951207	0.51478512976	3.74953524031	-0.945309299966	2.63096799509	1.92885539687	3.638729672	78.9575859037	7.79348311442	7.68508135619	2569.05977123	False	
