Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Potential	Equilibruim
1.56315540744	-1.44960440455	-0.415594597648	3.89957617	-1.38353346763	2.5689768508	-1.13283070199	2.07033081202	132.262847188	9.68616038962	76.0397100474	3308.39346312	False	
1.42269434272	-4.08354825816	0.827579611839	2.06708348498	-0.666010525675	2.05324711296	1.71072755168	7.93205897431	142.476943709	13.6556620669	72.5308256675	4400.6678232	True	
3.76918244435	-1.67318717048	-0.895842000346	0.706500227762	0.000113936939647	9.5561341073	1.08284475576	4.41630507416	152.067768643	14.8239067996	83.9984623968	4229.05442894	True	
2.23478603048	-8.08571404902	1.0829628032	2.82885323169	-0.0577554895918	7.0519464676	0.0181521514479	6.99755991475	145.724396026	6.83179280508	90.5998340704	4021.84344758	False	
4.59527894815	-6.0174527393	-1.18996305638	5.65472473251	1.38270553005	7.25860302994	0.0413799310723	3.81500740044	146.604396602	1.10649337633	84.5556303638	5663.53822246	True	
3.53542663071	-5.72318904864	0.963502194503	3.98534084701	-1.29485861866	5.64817057437	-1.10216153695	9.24600745445	147.939229166	5.98949432302	85.2306432367	3014.68660728	False	
0.767458012576	-0.149664475234	-1.38303442859	7.79605582747	1.70498083261	1.27114895599	0.872479506508	5.69338981331	146.286724458	8.61828054252	87.9033093106	3092.64956005	False	
0.417576964582	-2.11943045662	-0.633622281138	2.00198709318	1.18429915409	3.03476419389	-1.69442727615	8.36866253749	138.548200289	11.7212909874	85.2823224933	2264.81785507	False	
0.208222200109	-1.67051004412	-1.09050408618	9.51099566589	0.129836257995	3.62916032187	1.41221418182	2.85794124722	148.560219794	10.3470130767	91.034191675	1716.44724425	True	
1.18169162219	-2.39375797217	-1.15353715258	5.53098354528	0.30583018651	9.43856923533	-1.12636844073	1.86379174863	142.566671012	10.4135573019	87.5008738101	3448.90148631	True	
0.370111685488	-6.40910321914	-1.17416624285	2.72935018799	0.735146692411	8.84560284988	0.295209978824	3.50503976121	149.659685096	5.15076557672	90.8766372806	4934.77302961	False	
3.72144212048	-0.255420815935	-1.590276424	1.48634316393	1.42682611967	1.12227111149	-0.517893062996	8.34292369427	146.682687118	13.1992646323	95.693430206	3725.95630474	False	
1.0326939838	-3.60512821321	-0.911572767913	6.2339199635	-0.396450419617	8.84260619978	0.268353249146	2.31848557954	150.102455694	13.7385599691	98.4634650315	3397.1116026	True	
0.301253207849	-1.42364132144	-1.60779891509	4.48020468216	1.39104308193	8.23298912448	1.71464899316	6.53040154184	152.345909351	13.629638441	99.6447440575	2706.41908151	False	
0.143579812716	-1.99631998603	-0.801917938032	1.87588515109	0.573628662444	7.52282166007	1.33255309846	2.60652442472	140.949174871	12.6603299851	94.5689003484	1921.80172481	False	
2.37053781467	-1.85704011396	-0.787893185677	1.47789119609	0.93959041735	8.25065280941	1.82521212834	4.01850942627	152.242967539	9.34920497731	88.1130501981	4209.90940949	True	
7.15434977319	-1.35771342142	0.428043872329	4.71427174433	0.991038380573	6.89265619898	-0.387276343795	5.73548229884	151.802084657	3.83578627284	90.8617055603	2894.26994026	True	
3.53396531232	-2.47762543655	-0.634689938743	3.44984486752	1.43747861354	5.91555158753	-1.06654078616	3.57549737555	152.147870323	2.48216773977	93.0775211774	2926.18012482	False	
