Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Parameter 39	Parameter 40	Parameter 41	Parameter 42	Parameter 43	Potential	Temperature	Equilibruim
5.32490943967	0.548443192999	6.392107515	1.36978413589	8.31687848447	6.09895972918	2.3025232583	-2.06924291057	3.76883449965	-3.57797451742	3.57418713925	-0.245452421406	5.5773422657	-0.151277781313	4.69677622489	1.52984479913	-0.672889553855	-3.18190238782	-3.9355536578	5.81839410164	9.45040366732	6.56246109198	9.65889293606	8.86080958562	3.05436110764	2.00958074266	1.44101139088	9.71765332068	8.57806689821	2.1344870371	6.32178723018	4.53125213235	2.69841616851	1.86654690278	4.04306605636	3.26641291045	2.62438223244	9.42365064154	6.88725402177	1.88029109495	-0.527639125168	2.72738715623	3.75743155358	241794.490743	53144.1	False	
3.06499630379	5.85263212352	6.00111223878	8.02084796566	1.01746071385	9.29951546823	8.27922366025	-0.996908618324	-0.541887763024	5.58119299613	0.936867456859	1.08199517592	2.60155667198	-0.433693496967	0.181259750528	-1.73374468575	5.09999161593	-1.1665769843	4.57966511495	6.94666501696	2.68687652688	0.674234872123	5.26465314984	4.21460154605	3.53263672536	2.72015236178	7.04799140382	7.66090323702	5.3365302522	8.71841551232	8.58660314465	1.66248429284	6.39860920664	1.57669991996	0.855164372824	8.49224114098	6.32573004597	2.5872533823	6.48630607273	8.91286012832	4.97690764972	2.88905404074	5.47664004259	103572.494833	53144.1	True	
5.30017796844	8.49922438823	1.62784107276	7.30079143982	0.614018210531	3.05233841094	1.32476080874	4.02700381628	3.50654098242	7.41106857632	7.13644425061	8.9679116113	-2.38105673054	2.68707727854	-0.301644366356	0.445345375761	0.394903247016	-3.76538215484	-1.75843886738	3.79338554194	9.15259520797	5.82652734489	2.16793573277	6.73078665664	1.12774329947	2.25974288963	9.14750134225	7.64519451793	2.59211485442	3.93391973855	1.87718908176	3.84555909223	7.56287556292	1.06520149168	0.101039966279	3.71948290465	9.78212495056	6.91021455619	6.03593887259	1.83500531268	3.77817174633	2.30295685862	5.88913784859	290139.271079	47829.69	True	
3.92669748203	8.00363451353	3.95857194941	1.83970415102	8.95246717526	8.15937983702	8.72434368257	0.59067081324	7.72134776108	5.75479562232	5.98076433453	2.60845024507	6.81055398454	-1.92663026475	-8.79279171483	-1.47099348532	-4.35010722453	-7.35928983889	-3.35394951045	-1.08324278347	5.2686913095	9.68820091476	3.58008184919	8.10249496205	4.15296550244	5.78511946263	5.31892034017	8.65605743241	5.82132335707	4.46941074864	6.26831470039	2.41300185779	9.29146649485	0.18738656845	4.07774353617	5.65911523889	1.86608176808	3.20667829955	9.64545444153	1.65193854068	5.0268371768	2.84889804345	5.47241662706	136851.01126	43046.721	True	
8.34818078559	5.29802000049	9.7608310966	6.74768213137	9.36732424176	9.11978636973	0.286125047968	2.78344924873	1.57005778611	4.32114597641	9.05769946435	-4.63344947994	-2.85806530576	1.97007389104	0.507975107986	-6.1038177612	-9.45927135894	-4.80289167399	-4.68230408877	-5.41650393166	0.843206865734	2.7979394519	8.05072311952	3.74293385186	9.297335365	8.34076993638	7.62128186126	4.22696051269	1.24008688647	3.89315650255	3.70554300442	4.18632194302	7.369940663	5.64301748677	1.70676859161	4.35736661495	2.40488310519	3.95567385979	4.10921471579	6.22196602017	0.276275536419	2.8666312756	5.41146473187	199764.257425	38742.0489	True	
2.1702547794	6.40377744184	8.76867894329	4.15968011517	2.38649965415	5.83670222539	4.72401544544	2.19292813032	0.52355615816	7.67268993955	6.69484953508	1.72537283389	2.91520707665	3.55991821707	0.0133449935735	0.921548260381	6.429880566	-2.62985096838	-3.71828147504	-5.62197351982	9.25263827122	8.69858918768	9.17840558134	6.24074303625	8.92362410305	9.43833078671	6.04625633835	6.51292769721	9.7955469518	1.83682908097	8.91728962286	2.65645630985	9.85823931116	3.87390088381	5.18756134653	2.46450281703	7.70921210588	9.5449308176	1.18073493533	1.31470164811	4.93444509596	2.35308630531	4.28170668169	189099.541396	34867.84401	True	
7.76897322949	5.5221237036	2.12986515902	9.33505144637	5.11245112202	7.01652485821	3.25266634764	2.1538818995	7.53208034664	5.60894093117	2.09343821844	8.83550361782	-1.70067390796	5.86972415116	0.610994109388	2.83465807461	5.17369788726	4.58836615609	-4.08503696194	-6.47174761708	8.73439157788	5.22415814645	6.95362350529	7.67499272461	8.45043073192	2.95012723418	9.72551365037	3.86219475906	1.76493943539	2.26660141941	4.53658974974	3.53811409555	3.33234640621	3.97687330888	5.13975608818	7.69750472093	4.44924589032	2.28085375281	9.49395045	6.61426291481	0.724542070608	2.66705199186	5.23860725339	176660.867243	31381.059609	True	
5.70252761514	8.06712384385	1.80347219801	2.45886071125	8.94255908411	1.06718352682	4.94538938178	4.7363399674	2.08028033274	7.3097869132	7.24330346737	7.59463761773	6.7557449002	-0.582393824417	-5.38014487956	2.9380323916	1.96227443525	1.19202704003	-1.51594541091	-3.30700351418	4.01043693295	3.9927691098	1.89035821382	6.82565857158	4.46194539098	0.475160008503	7.95745537958	3.45869661641	0.710047457561	2.47692038888	3.2276517288	5.48240660384	3.29719209135	0.63928203132	0.565283794562	6.165419128	1.00751417469	5.55514923236	9.00683162798	6.82374333375	-0.402573160376	2.64841951322	5.19119001336	189510.470359	28242.9536481	True	
2.41623162178	3.98583399396	1.61595520806	4.93893420278	2.14123105383	0.875865965701	0.0432482474513	0.59794555795	-0.663274114837	6.97673828195	-0.679777959554	-0.292090436766	0.885425959462	2.17637358511	-1.87647943395	5.78464225522	2.6797026344	1.30606276041	-1.67458505032	3.63127408182	1.78957519371	7.09193292206	6.26115337399	0.399841050144	7.84761869645	3.63773194886	2.00538612824	2.96960079913	1.89852619524	1.98621010859	8.87610666959	6.48902708538	4.34090271863	7.65042220174	4.61562345137	2.39450897353	3.98138010003	8.79468210184	1.69304810489	1.56733885289	3.14872724769	2.79817424812	3.54429030169	48476.5353776	25418.6582833	False	
2.94515101551	3.67555744785	1.96053824723	8.10612208271	8.21506333424	2.04298639996	5.0776029831	5.82248036973	2.58766130787	-2.17981919656	1.18461419563	1.84277811229	6.28750380664	-0.705043507698	6.22961120156	4.64354336828	5.9506269677	-1.92629816494	-0.337523141713	-2.06432633124	7.52704858725	6.88073692398	8.25259076411	5.48589206495	2.17964872322	5.97631670873	5.16658594287	2.65018367164	3.58995089537	8.64087173955	7.48221343595	3.56081654366	3.6598080905	9.27813844037	4.25400044772	2.40864329561	4.76908393571	0.609408696797	6.85863391734	1.56274912369	3.04728976783	2.60291364919	5.68308026395	167571.65598	25418.6582833	False	
7.13907478925	2.66391885479	4.82214779822	1.11670051662	8.55858347699	4.98898684402	4.77477479935	6.17824638431	0.190516929725	5.95902060295	1.50842161797	3.17203934365	3.05188792406	1.75399625199	0.264104852023	6.43208184813	-3.22518754114	-1.41098238984	-0.707920007507	-0.137337550126	1.50849075423	8.07893650321	9.61730636594	5.484006518	8.86950310402	8.7918622589	2.36271420898	2.35376123084	3.94905899831	4.46877048153	5.00643494542	9.35429513591	0.958604583471	2.87224212561	3.61445371747	8.6499634213	9.00535758555	0.784410482396	5.47553754629	6.10343185152	1.95798712418	2.95135526307	4.25669397801	35965.2662293	25418.6582833	True	
4.02403761391	8.33589245404	1.89743305999	8.4368806902	5.66904579827	1.59490580005	-0.669640833423	3.37949791894	-0.439985605171	3.73828772657	-0.2598356692	1.38136570578	0.441058225705	7.53691508855	3.05755302299	3.48489643583	-3.33799326181	2.22834392857	2.01482592798	-4.23183476512	2.83590438036	8.13232702125	8.25657647122	8.96001924783	1.98143262205	0.267145691399	2.24520070129	5.14359079434	7.85513260591	4.2041707843	6.2110420168	9.61594893989	9.58318308452	7.23013743085	9.04306346166	8.71952960325	4.13621576243	2.79484856759	3.94184349231	5.60080461382	-0.640565795829	2.95491720827	3.76250319758	122135.493501	22876.792455	True	
6.54606404533	5.69924107539	0.368417932451	4.48813637153	4.2355851672	5.64012806101	4.24306962623	3.89153110192	4.5299216627	1.49873345026	6.74417006449	5.18061374982	4.06747407022	5.23367185915	0.420659154716	-1.53383546889	1.07784658017	1.2635209924	-0.805411897384	-1.4705304486	6.77349241301	3.78077729372	8.56941235824	6.02630138999	3.46049767496	9.14528359025	4.65396098325	3.50165850003	0.444962293911	1.59139165698	8.12674235886	7.69796364394	9.25112470593	6.12867466743	5.29349677824	9.53708227031	2.05341880662	6.00740288068	2.76896068015	7.38912585087	4.82515224652	2.93623576405	4.37049042471	13531.1747867	20589.1132095	True	
4.64516028352	1.27658756459	6.20400288684	5.30741276591	1.7715879865	6.92952666011	4.6518174061	4.93611437006	1.28477653694	-1.26392255214	0.938192898482	1.6099604432	2.21050972296	3.76964312625	2.24974272148	2.53474190975	-0.874560479399	1.22189856058	-1.1501797646	-1.22075421876	8.81498962495	6.37824204391	3.14752922818	8.71626854851	7.83697593757	7.50758814964	6.79014298778	8.31006819248	2.01598004078	4.2147478218	4.06516298625	8.83862022393	7.11222062686	4.39821799875	1.70109764831	2.47523918098	0.946191924949	2.13294278285	6.39679418606	1.70184555097	3.33929793744	2.84642256499	4.54863315748	10963.792496	18530.2018885	False	
7.93938808286	4.12041973494	3.18869795293	3.54217226084	4.61564910118	6.26286261329	3.30458900054	3.46782910258	1.28589968487	-1.35821241003	6.79818414297	1.61877947314	-1.10895336165	5.08913704626	1.38693828	-1.90974726412	-1.39160707639	0.406856113475	-2.98106396337	1.89910328274	5.77145597776	8.51745331821	3.96372294504	9.59843565415	6.76970423072	8.44571783051	8.36941165206	6.32399725639	4.51619634505	2.66726450388	5.55062249747	4.42682048136	7.79692590652	3.50874974932	1.45069895625	8.67711298609	3.76746607437	3.58993696939	7.56211324062	3.74491733475	-0.62322169788	2.80153433302	4.20407339641	33506.7573789	18530.2018885	True	
