Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Potential	Temperature	Equilibruim
7.63692815671	3.94252811452	8.7445168093	8.83256606645	0.703875139192	-1.25110659136	-4.87074871129	8.12489893377	-0.0848532415898	-0.533588430192	-4.28251331373	0.645680491881	2.64183949335	924.692897707	971.163651836	True	
5.72912705574	4.13000788637	7.44810703477	-3.00509398855	8.83899740887	0.368557558502	7.71049901756	-2.28872917488	4.10093491823	9.45535643054	-2.59869395863	3.23850873456	0.0868025935321	2115.55448018	961.452015318	True	
5.26090520068	-0.972602975017	3.85817896462	-1.51613100177	4.3288689088	1.04897155063	-4.86839449442	8.8526512208	4.38209947516	-5.93283857219	8.17717189187	4.63432547063	1.47285950006	1997.79089102	951.837495165	True	
5.34927895403	-4.20369724991	5.94022120407	5.36977048018	7.30993810868	3.28062856531	4.81017942084	2.22586813834	-7.32312467341	7.55039799976	3.58885976115	5.69093426641	1.04414411949	1277.70953006	942.319120213	True	
-0.351848417734	0.51408428079	8.86056238169	-0.420011027447	8.14486100805	7.31481001586	0.111233224824	-4.33042273293	3.72382171452	3.99474126417	-7.08629907564	7.41006676402	1.30903159862	1552.44262625	932.895929011	True	
3.33684519024	5.10501463615	2.0428260911	6.43425620099	2.83171520726	5.38410762046	0.615810933341	-1.42308401484	7.06347722947	4.61968815297	0.495450734568	-3.8638822063	1.32384732905	1489.32665736	923.566969721	True	
6.60280849131	-1.31057641217	0.721491943855	-5.23216360031	1.42188413487	5.6274921771	-4.17575605179	2.69341439417	-2.94550748259	7.62800930477	4.07085714453	8.69551935432	1.53433250214	1539.02096998	914.331300024	True	
7.42001892558	-1.32239410853	-1.32980647267	7.81444863794	-6.78851276612	9.29621638615	-4.74666522895	7.89263277638	-3.72068015675	4.69452505677	-5.13429948791	0.758051733379	3.60408197849	865.448407872	905.187987023	True	
5.39448059299	2.83532544118	-1.50865125345	-4.922609329	0.862378090232	4.68284509622	-1.06992078126	-1.78242309138	8.56094493495	9.83969082172	-0.125956590249	6.7115986447	2.43413980544	1278.03287855	896.136107153	True	
3.01657453157	8.64892922179	-1.60174171539	7.18850696684	7.9393579874	5.20109267058	4.4245446154	-7.9795239847	6.96344874618	-4.52028458941	4.81296302723	-6.20292913835	3.5704373577	2109.40804459	887.174746082	False	
7.13948462857	7.52526110952	-4.31547970578	-0.698151473345	6.95416033669	-4.82907825223	3.50966029358	8.24800285016	9.99549446229	4.27825459002	0.903149476606	5.01629825751	1.14303803101	2781.64642511	887.174746082	True	
9.45849331123	-3.82879388513	5.96096177096	-6.3236253468	8.37041800296	9.08722200415	2.55777899589	-1.60918220383	8.7120796683	-2.45009613391	0.707217240399	0.345546209514	1.3038027757	2166.91316352	878.302998621	True	
5.61089184853	-5.66431392833	0.510805429427	8.00007868509	3.1336503492	4.96155083776	1.00671261757	-6.22846782314	7.83664801222	6.79697141353	2.90227024547	7.62590815255	1.66193579162	1973.5151211	869.519968635	True	
7.93231881678	-4.51903830075	1.94460156516	5.3226055248	2.79208586552	8.41655685999	6.72874299867	5.22846908013	-2.06213242748	6.67365664495	6.54595241265	-7.83675772839	3.21534019962	1994.36241714	860.824768948	True	
8.21188773454	8.88178249215	1.31162357954	9.03112816593	8.5047869344	3.26171489359	-5.38964987729	6.42931952268	8.74396073429	2.01366968221	3.08744850409	-1.50469685672	0.358354178162	1401.20894147	852.216521259	True	
6.48136727347	9.80114522542	-1.54277279114	3.51959522348	-5.54025133733	0.512789587781	-0.992485250812	7.28736574506	4.5558893599	-3.9085154559	4.34300459756	9.65092271498	0.942530123624	1586.48816534	843.694356046	True	
6.65262719584	-5.37347461533	5.8649472929	9.59922031696	0.331472697047	5.49944652564	0.594492637633	8.39504822664	-7.22748012212	3.5992229157	3.1490350293	9.43096999992	1.92892201679	1595.32547845	835.257412486	True	
5.44024570916	7.13730702787	8.54054594592	8.02826478232	-0.645923843627	-0.105369397882	4.68095285151	1.03182288989	-7.37649147328	3.44933199761	5.18777384473	4.30533236932	2.03978382225	716.668469511	826.904838361	True	
-0.696750291617	3.20680639791	7.10162037459	3.13617070915	-3.99811235009	2.54669537537	-4.42299323568	0.213748845721	6.29234393512	6.78418432193	-5.14012753755	4.51626960258	2.36371616789	1221.24886483	818.635789977	True	
5.62608901905	5.67662125295	-0.118745052245	-5.76241937917	-0.652769118752	7.7671203477	1.75562044379	4.08990104787	0.825761460747	-0.804902343493	-4.19307574601	6.74889474315	0.882990992691	1542.01966145	810.449432078	True	
4.25377002041	6.39764494504	4.07824396767	9.22582284382	-5.20197108728	8.60889779963	-6.06562345071	4.18721852499	0.0155665311181	4.65236732914	0.924963003481	-1.98024995061	1.50672723511	1404.82159085	802.344937757	True	
7.20912500311	-0.799818059048	3.47017364253	-1.44248038658	3.58064893008	2.41464718274	0.58959289974	-2.83641597539	-1.29704451465	-2.84535887185	9.45848755405	-7.25936997762	3.18194333085	833.566048635	794.321488379	True	
