Parameter 1	Parameter 2	Parameter 3	Parameter 4	Parameter 5	Parameter 6	Parameter 7	Parameter 8	Parameter 9	Parameter 10	Parameter 11	Parameter 12	Parameter 13	Parameter 14	Parameter 15	Parameter 16	Parameter 17	Parameter 18	Parameter 19	Parameter 20	Parameter 21	Parameter 22	Parameter 23	Parameter 24	Parameter 25	Parameter 26	Parameter 27	Parameter 28	Parameter 29	Parameter 30	Parameter 31	Parameter 32	Parameter 33	Parameter 34	Parameter 35	Parameter 36	Parameter 37	Parameter 38	Potential	Equilibruim
0.62943626342	-0.284448427621	7.46384199255	4.12788705901	-6.99046366024	4.52568002397	-2.00249934609	4.86385138924	2.87148525792	2.59934122529	2.51522137145	1.36533203572	-5.36561541513	2.96310130624	8.85441971323	-4.55576276611	4.43631823452	5.85088539291	-5.53512918616	-5.51442500257	0.526275057216	-1.44652539446	3.43896570546	6.53902234111	2.44117660164	5.75668194681	1.08753634318	3.20961595237	6.47957513747	3.24651315379	2.30344950393	1.43895029447	2.41235323588	1.51189183015	-1.48503709098	9.22837997131	1.90812149827	4.68506071425	387697.8687	True	
8.39232215834	-7.60760926664	7.47301067083	0.585471650852	8.95812263154	6.01848024901	7.05462348159	3.84944822142	0.593617755328	7.1264526741	1.97349576579	-7.02022310083	3.57686419652	-0.447081354004	-2.48100309081	6.19613469056	9.99615889283	1.43776213038	4.7057168762	-2.68364486648	1.67933221542	0.788664416716	6.30930705877	5.45713966168	-0.478206294344	7.67378310933	5.56916305955	8.02263809065	4.97045708954	5.24394616092	3.07885478592	2.34588065696	2.14848570051	1.72982502118	2.73659133423	5.4784764677	2.84275637931	4.32814330935	431048.140732	True	
7.26711731761	9.91288102048	-0.326117150158	6.92395879134	3.88048793715	5.65340961339	-4.88369437286	8.45644685864	-2.47123611553	3.74053428015	3.79753828494	3.76973039995	9.30380075741	3.14014397328	-6.1423975823	-0.5305897131	8.84928544508	0.952529042755	-4.61897875796	-4.56306153254	0.782803961138	0.402454877231	6.47458434494	3.31601553068	-1.70851561171	4.48423022493	2.72659463491	3.02258234575	7.32584735336	5.31737055328	0.526119877259	-2.29646694439	5.60326798153	1.47736668089	0.624556701921	5.17359846811	2.17793321397	4.18165530693	382507.386054	True	
5.52392184055	3.38154610258	8.70738173444	5.51766456419	1.09662389617	-0.946067163586	-4.05966176886	-0.0221143713824	-2.75320029132	-0.299802649032	5.25249086571	2.17290226312	-0.378969450094	4.37449602232	6.27352133324	-1.66373712904	-4.56746335026	0.904545354086	-1.33456675214	-7.52388466534	8.02259690794	-1.19407205872	0.688942592908	2.99921957713	1.74662816291	6.83320226529	4.01035883289	1.44206024409	3.31166567843	6.8857307194	8.32505218159	-2.9685173785	1.0152457171	2.00284989589	-1.61523069712	7.19021543369	2.07913298908	4.1023046374	446181.755973	True	
4.8056273278	5.32384471321	-9.04533703333	-4.18006635771	6.09911512267	8.62374980531	1.34645549959	-6.269245413	8.85333354562	-0.979144831414	5.51719266236	1.82855110822	3.51685509108	-1.05516330766	-8.06395598368	7.61739042249	7.82616565478	9.18396813574	-3.84751786674	-5.96763848819	4.33918084596	0.739127632101	1.17058212256	0.301037324399	1.06501712151	4.44392906635	5.75613779108	1.24326714542	6.87668329138	8.70522023924	2.70534216666	-1.94162027029	0.703080391695	5.94376332345	-0.143549688082	7.86277089721	3.76164995586	4.71530178466	357617.190522	True	
5.55703046035	9.84022188097	6.4554368159	-4.85959859347	8.52985322002	4.39545951246	5.20564115764	-1.75005150387	-0.0630050190267	7.36322554068	8.56112467072	7.46029599997	-9.36873336388	7.74118912619	6.58730934847	5.01037559471	-1.25579482862	5.27522785289	-0.62902197073	-3.43806276449	7.12532041228	0.386088791357	7.84245550115	8.49212596694	1.53459164878	8.70066773176	5.69093898501	6.05461246704	7.30228667959	4.20908524646	5.51148993606	-1.75122675739	6.8801268522	5.24694171076	0.432084753697	2.04335306652	2.92165736203	3.48390630188	299187.423354	True	
-8.6581350952	7.89690706033	-9.11047957439	7.45126750471	8.37240735615	3.59178284695	5.54043809795	-8.87328997787	7.35580792524	-7.49531148567	0.505615656829	8.27856760548	5.27279398743	6.92055784165	8.79362743917	3.70262341519	8.28033848002	5.43587571577	-5.9186864299	-6.45301984885	0.853633568108	0.0153829685656	6.48095840512	8.48074587388	-0.937378938149	7.62097325532	4.85099657597	6.17876027437	4.08100723441	8.67591776591	7.42348339966	1.81329761242	6.99377412575	2.74189025296	-1.41652570854	6.07973356184	3.10265710874	4.53593340274	652336.945136	True	
-4.54444146325	7.8866137582	7.04759202405	1.68822938932	9.1423068119	9.7821626147	-2.83536480088	8.97311203045	-4.00832206479	5.19895478727	4.6759437375	-0.0167016922448	-0.696952621943	7.73998452004	0.344938324256	-8.02604967796	-5.57067433811	5.71025891402	2.63345268446	-3.66285688956	4.53165252318	-2.90807609663	0.403033845382	3.05006772486	0.562136908125	8.70965661032	8.21076668078	2.71747669444	8.42896166093	4.47121733286	3.49536780449	-1.71787611519	5.88324153768	7.10613045803	0.133191070354	0.131528120513	3.68786113811	5.24780599592	397951.414963	True	
-9.81334612691	-0.0354386477033	2.38281943332	5.59327948282	9.23259543041	-1.44279895729	-5.48603293714	2.06636358331	8.64147224039	4.50486692809	0.206961700219	1.53380618517	-6.38927852122	-6.75917287265	-2.39836481186	6.84715181945	-5.98486703519	7.2460945989	7.98338395276	-8.8507331692	6.62636727587	-2.7563988358	1.24137124911	6.6468469644	-2.25621996837	2.2680684701	2.71644444938	2.1712792736	0.870826131721	9.37692015073	2.17910225613	0.0826377145308	2.24246429243	4.62326584426	-0.730637840995	6.68793751973	3.38084347391	4.99161062782	293765.248522	True	
-5.03641862866	5.64559962931	0.397251223623	-9.12628964011	-0.496627488942	5.27622569912	0.912195810339	-2.80326755028	8.82154777011	8.19980551889	4.65392833762	2.38559277809	-2.25327671017	-5.14189989696	4.90230114086	3.94930233024	1.83361873203	3.73493543005	-4.76217968185	6.3209574763	5.95197417055	0.274779719736	2.67602594729	7.62139730087	-2.10435451507	8.84771221673	1.06912233992	9.38561589796	4.44164233168	6.03507110722	7.71092486767	-0.685354387687	3.65454807944	6.35475448288	1.9575558155	7.07559885071	3.81801452312	3.98265120387	255187.655011	True	
-0.181857342456	-0.0828931816756	-8.6347340052	2.11585524264	8.68599909663	-0.878673341587	-3.68524862885	5.76114104058	-1.2648899655	9.36977476487	8.47655262359	-2.01673346843	3.50473278515	-4.73553999005	-1.62567423033	4.94023064039	6.72596029202	9.86306827832	-7.51957426237	0.005047064546	0.0481364460512	0.317702936353	1.9893991192	9.56783927037	-0.580558702274	4.65393827454	2.84148103261	1.74076644377	3.79937875113	5.27589695136	7.54831645468	-1.00500542451	2.28296703907	5.60654604031	1.55184392705	4.02287305196	3.6859843699	3.14392109756	229274.124097	True	
